Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Magnification Range","Field of View","Working Distance","Illumination","Camera Type","Interface"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26800C-534.pdf,//media.digikey.com/photos/Aven%20Photos/26800C-534.JPG,243-1047-ND,26800C-534,Aven Tools,MICROSCOPE PRTBL 40X W/LIGHT,80,0,"22.33000","0","1","-","Active","Microscope, Portable","40x","0.16"" (4.00mm)","-","Illuminated","-","-"
https://cdn-shop.adafruit.com/product-files/1061/1061.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1061.jpg,1528-1282-ND,1061,Adafruit Industries LLC,MICROSCOPE DGTL 200X W/LIGHT,8,0,"109.95000","0","1","-","Active","Microscope, Digital","200x","-","-","LED","Digital, CMOS","USB"
-,//media.digikey.com/Photos/Aven%20Photos/26700-200.JPG,243-1065-ND,26700-200,Aven Tools,MICROSCOPE DGTL 10X-200X W/LIGHT,9,0,"218.11000","0","1","Mighty Scope","Active","Microscope, Digital","10x ~ 200x","-","0.33"" ~ 4.41"" (8.5mm ~ 112mm)","LED, White (6)","CMOS 1/4""","USB"
-,//media.digikey.com/Photos/Aven%20Photos/26700-204.JPG,243-1104-ND,26700-204,Aven Tools,MICROSCOPE DGTL 500X W/LIGHT,4,0,"272.91000","0","1","Mighty Scope","Active","Microscope, Digital","500x","-","0.00"" ~ 0.12"" (0.00mm ~ 3mm)","LED, White (6)","CMOS 1/4""","USB"
http://www.avenconnect.com/product_sheets/Eidos_Systems_print.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_26800B-355.jpg,243-1303-ND,26800B-355,Aven Tools,MICRO STEREO ZM 21X-258X W/LIGHT,2,0,"2929.01000","0","1","MightyCam Eidos, SPZHT-135","Active","Microscope, Stereo Zoom (Trinocular)","21x ~ 125x Optical, 40x ~ 258x Digital","-","-","LED, White (60)","CMOS 1/2.8""","-"
http://www.avenconnect.com/product_sheets/26700-401_Accessories.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_26700-401.jpg,243-1294-ND,26700-401,Aven Tools,MICROSCOPE DGTL 11.9X-132X W/LGT,4,0,"757.50000","0","1","Cyclops","Active","Microscope, Digital","11.9x ~ 132x","0.04"" ~ 1.57"" (1.02mm ~ 40mm)","-","LED, White (30)","CMOS 1/3""","HDMI"
http://www.avenconnect.com/product_sheets/Eidos_Systems_print.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_26800B-339.jpg,243-1302-ND,26800B-339,Aven Tools,MICRO STEREO ZM 10X-93X W/LIGHT,3,0,"2937.16000","0","1","DSZV-44, MightyCam Eidos","Active","Microscope, Stereo Zoom (Trinocular)","10x ~ 44x Optical, 21x ~ 93x Digital","-","-","LED, White (60)","CMOS 1/2.8""","USB"
http://www.avenconnect.com/product_sheets/Eidos_Systems_print.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_26800B-385.jpg,243-1301-ND,26800B-385,Aven Tools,MICRO STEREO ZM 6.7X-143X W/LGT,7,0,"3070.42000","0","1","MightyCam Eidos, SPZV-50","Active","Microscope, Stereo Zoom (Trinocular)","6.7x ~ 50x Optical, 19x ~ 143x Digital","-","-","LED, White (60)","CMOS 1/2.8""","USB"
https://www.jonard.com/~/media/01388D6676E94AFC86E7693376A6FA91.pdf,//media.digikey.com/Photos/Jonard%20Tools/MFG_FIM-200.jpg,K657-ND,FIM-200,Jonard Tools,MICROSCOPE PRTBL 200X W/LIGHT,3,0,"189.12000","0","1","-","Active","Microscope, Portable","200x","-","-","LED","-","-"
https://www.jonard.com/~/media/01388D6676E94AFC86E7693376A6FA91.pdf,//media.digikey.com/Photos/Jonard%20Tools/MFG_FIM-400.jpg,K658-ND,FIM-400,Jonard Tools,MICROSCOPE PRTBL 400X W/LIGHT,3,0,"189.12000","0","1","-","Active","Microscope, Portable","400x","-","-","LED","-","-"
http://www.ocwhite.com/downloadfile/download/aitfile/aitfile_id/22/,//media.digikey.com/Photos/OC-White-Co/MFG_TKPZT-LV2.JPG,1844-1074-ND,TKPZT-LV2,O.C. White Co.,MICRO STEREO ZM 5X-65X W/LIGHT,3,0,"4245.03000","0","1","Pro-Zoom™","Active","Microscope, Stereo Zoom (Trinocular)","5x ~ 65x","-","-","LED","2MP","-"
http://www.ocwhite.com/downloadfile/download/aitfile/aitfile_id/55/,//media.digikey.com/Photos/OC-White-Co/MFG_TKEZ-850-LV2.JPG,1844-1069-ND,TKEZ-850-LV2,O.C. White Co.,MICRO STEREO ZM 8X-50X W/LIGHT,2,0,"4295.03000","0","1","Ergo-Zoom™","Active","Microscope, Stereo Zoom (Binocular)","8x ~ 50x","-","-","LED","-","-"
http://www.avenconnect.com/product_sheets/OLED_Systems_product_sheet.pdf,-,243-1586-ND,26800B-223-SPZ,Aven Tools,SPZ-50 STEREO ZOOM MICROSCOPE WI,2,0,"1826.76000","0","1","SPZ-50","Active","Microscope, Stereo Zoom (Binocular)","6.7x ~ 50x","1.35"" ~ 0.14"" (34.3mm ~ 3.6mm)","4.25"" (107.95mm)","OLED Ring Light","-","-"
http://www.avenconnect.com/product_sheets/OLED_Systems_product_sheet.pdf,-,243-1587-ND,26800B-534-SPZ,Aven Tools,SPZ-50 STEREO ZOOM MICROSCOPE WI,2,0,"2001.31000","0","1","SPZ-50","Active","Microscope, Stereo Zoom (Binocular)","6.7x ~ 50x","1.35"" ~ 0.14"" (34.3mm ~ 3.6mm)","4.25"" (107.95mm)","OLED Ring Light","-","-"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/Cyclops_Macro.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_26700-421.jpg,243-1349-ND,26700-421,Aven Tools,MICROSCOPE DGTL 29X-185X W/LIGHT,5,0,"2009.91000","0","1","Cyclops Micro","Active","Microscope, Digital","29x ~ 185x","0.11"" ~ 0.72"" (2.80mm ~ 18.30mm)","3.23"" (82.00mm)","LED, Adjustable","CMOS, 2MP","HDMI"
http://www.aventools.com/wp-content/uploads/2016/02/2016-product-catalog.pdf,//media.digikey.com/Photos/Aven%20Photos/26800B-303.jpg,243-1482-ND,26800B-303,Aven Tools,MICRO STEREO ZM 10X-44X W/LIGHT,2,0,"2267.97000","0","1","DSZ-44","Active","Microscope, Stereo Zoom (Binocular)","10x ~ 44x","0.91"" ~ 0.20"" (23.00mm ~ 5.20mm)","3.54"" (90.0mm)","LED","-","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1345_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1345.jpg,1528-2297-ND,1345,Adafruit Industries LLC,MICROSCOPE DGTL 25X-400X W/LIGHT,4,0,"69.95000","0","1","-","Obsolete","Microscope, Digital","25x ~ 400x","-","-","LED, White (8)","1.3MP","Composite"
http://www.ocwhite.com/downloadfile/download/aitfile/aitfile_id/29/,//media.digikey.com/Photos/OC-White-Co/MFG_TKSZ-LV2.JPG,1844-1072-ND,TKSZ-LV2,O.C. White Co.,MICRO STEREO ZM 7X-45X W/LIGHT,1,0,"1995.01000","0","1","Pro-Zoom™","Active","Microscope, Stereo Zoom (Binocular)","7x ~ 45x","-","3.54"" ~ 9.84"" (90mm ~ 250mm)","LED","-","-"
//media.digikey.com/pdf/Data%20Sheets/O.C._White/Industrial_Catalog.pdf,//media.digikey.com/Photos/OC-White-Co/MFG_TKSZ-L-LV2.JPG,1844-1071-ND,TKSZ-L-LV2,O.C. White Co.,MICRO STEREO ZM 7X-45X W/LIGHT,0,0,"1145.01000","0","1","Pro-Zoom™","Active","Microscope, Stereo Zoom (Binocular)","7x ~ 45x","-","3.54"" ~ 9.84"" (90mm ~ 250mm)","LED","-","-"
http://www.avenconnect.com/product_sheets/26700-135_product_sheet.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_26700-135.jpg,243-1285-ND,26700-135,Aven Tools,MICROSCOPE DGTL 30X-300X W/LIGHT,1,0,"3529.97000","0","1","SharpVue","Active","Microscope, Digital","30x Optical, 300x Digital","-","9.00"" (228.6mm)","LED","-","HDMI, USB"
http://www.assmann-wsw.com/fileadmin/downloads/da-70351/manual_DA-70351_english.pdf,//media.digikey.com/photos/Assmann%20Photos/Mfg_DA-70350.jpg,AE10324-ND,DA-70351,Assmann WSW Components,MICROSCOPE DGTL 10X-230X W/LIGHT,4,0,"118.09000","0","1","Digitus®","Active","Microscope, Digital","10x ~ 230x","-","-","LED, White (8) Adjustable","CMOS 1/4""","USB"
http://www.avenconnect.com/product_sheets/ESD_Safe_SPZ-50E.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_26800B-371-ESD.jpg,243-1389-ND,26800B-371-ESD,Aven Tools,MICRO STEREO ZM 6.7X-50X W/LIGHT,0,0,"1792.71000","0","1","-","Active","Microscope, Stereo Zoom (Binocular)","6.7x ~ 50x","1.40"" ~ 0.14"" (34.30mm x 3.60mm)","4.25"" (108.0mm)","LED, White (60)","-","-"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26800C-542.pdf,//media.digikey.com/Photos/Aven%20Photos/26800C-542.jpg,243-1122-ND,26800C-542,Aven Tools,MICROSCOPE PRTBL 60X-100X W/LGT,0,0,"21.10000","0","1","-","Active","Microscope, Portable","60x ~ 100x","0.16"" ~ 0.07"" (4.00mm ~ 1.80mm)","-","LED","-","-"
//media.digikey.com/PDF/Data%20Sheets/Aven%20PDFs/26800C-541.pdf,//media.digikey.com/Photos/Aven%20Photos/26800C-541.jpg,243-1121-ND,26800C-541,Aven Tools,MICROSCOPE PRTBL 40X W/LIGHT,5,0,"27.68000","0","1","-","Active","Microscope, Portable","40x","0.16"" (4.00mm)","-","LED","-","-"
//media.digikey.com/PDF/Data%20Sheets/Aven%20PDFs/26800C-551.pdf,//media.digikey.com/Photos/Aven%20Photos/26800C-551.jpg,243-1126-ND,26800C-551,Aven Tools,MICROSCOPE PRTBL 50X W/LIGHT,5,0,"32.14000","0","1","-","Active","Microscope, Portable","50x","0.08"" (2.00mm)","-","LED","-","-"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26800C-550.pdf,//media.digikey.com/Photos/Aven%20Photos/26800C-550.jpg,243-1125-ND,26800C-550,Aven Tools,MICROSCOPE PRTBL 25X W/LIGHT,4,0,"32.14000","0","1","-","Active","Microscope, Portable","25x","0.13"" (3.30mm)","-","LED","-","-"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26800C-552.pdf,//media.digikey.com/Photos/Aven%20Photos/26800C-552.jpg,243-1127-ND,26800C-552,Aven Tools,MICROSCOPE PRTBL 25X W/LIGHT,3,0,"33.79000","0","1","-","Active","Microscope, Portable","25x","0.13"" (3.30mm)","-","LED","-","-"
-,//media.digikey.com/Photos/Aven%20Photos/26700-200.JPG,243-1105-ND,26700-205,Aven Tools,MICROSCOPE DGTL 10X-200X W/LIGHT,1,0,"272.91000","0","1","Mighty Scope","Active","Microscope, Digital","10x ~ 200x","-","0.33"" ~ 4.41"" (8.5mm ~ 112mm)","UV (405nm)","CMOS 1/4""","USB"
-,-,1844-1070-ND,TKSZ-F,O.C. White Co.,MICRO STEREO ZM 7X-45X W/LIGHT,1,0,"1845.01000","0","1","Prolite®","Active","Microscope, Stereo Zoom (Binocular)","7x ~ 45x","-","3.54"" ~ 9.84"" (90mm ~ 250mm)","Fluorescent Ring Light","-","-"
http://www.testproductsintl.com/wp-content/uploads/2015/07/L810-1006.pdf,//media.digikey.com/Photos/TPI%20Photos/810_cat2.jpg,810-ND,810,TPI (Test Products Int),MICROSCOPE PRTBL W/LIGHT,0,9,"440.96000","0","1","-","Active","Microscope, Portable","-","1.00"" ~ 4.00"" (25.40mm ~ 101.60mm)","4.00' (1.2m)","LED","-","-"
-,//media.digikey.com/Photos/3M%20Photos/MFG_VOL-0563M.jpg,VOL-0563M-ND,VOL-0563M,3M,MICROSCOPE PRTBL 100X NON-ILLUM,0,0,"511.88000","0","1","Volition™","Active","Microscope, Portable","100x","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Cooper%20Tool%20All%20Brands%20PDFs/T0051383599.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_T0051384699.jpg,T0051384699N-ND,T0051384699N,Apex Tool Group,MICROSCOPE DGTL 20X-90X W/LIGHT,0,0,"905.00000","0","1","Weller®","Not For New Designs","Microscope, Digital","20x ~ 90x","-","1.77"" ~ 11.81"" (45mm ~ 300mm)","LED, White (8)","1.3MP","USB"
