Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Lamp/Magnifier Type","Voltage","Lens Style/Size","Bulb","Arm","Color","Mounting Type","Cord Length"
http://www.ocwhite.com/downloadfile/download/aitfile/aitfile_id/44/,//media.digikey.com/Photos/OC-White-Co/MFG_42400-4-SW.JPG,1844-1028-ND,42400-4-SW,O.C. White Co.,LAMP MAGNIFIER 4 DIOPTER CLAMP,4,0,"399.00000","0","1","Green-Lite™","Active","Lamp, Magnifier","100 ~ 240V","4 Diopter (2x), 6.00"" (152.40mm) Diameter","LED, White","43.00"" (1092.2mm)","White","-","-"
//media.digikey.com/pdf/Data%20Sheets/O.C._White/Industrial_Catalog.pdf,//media.digikey.com/Photos/OC-White-Co/MFG_72400-B.JPG,1844-1019-ND,72400-B,O.C. White Co.,LAMP MAGNIFIER 3 DIOPTER CLAMP,3,0,"399.00000","0","1","Vision-Lite®","Active","Lamp, Magnifier","120V","3 Diopter (1.75x), 7.50"" L x 6.25"" W (190.50mm x 158.75mm)","Fluorescent","43.00"" (1092.2mm)","Black","Edge Clamp","-"
http://www.ocwhite.com/downloadfile/download/aitfile/aitfile_id/44/,//media.digikey.com/Photos/OC-White-Co/MFG_42400-4-SB.JPG,1844-1032-ND,42400-4-SB,O.C. White Co.,LAMP MAGNIFIER 4 DIOPTER CLAMP,3,0,"399.00000","0","1","Green-Lite™","Active","Lamp, Magnifier","100 ~ 240V","4 Diopter (2x), 6.00"" (152.40mm) Diameter","LED, White","43.00"" (1092.2mm)","Blue","-","-"
-,//media.digikey.com/Photos/OC-White-Co/MFG_72300-B.jpg,1844-1017-ND,72300-B,O.C. White Co.,LAMP MAGNIFIER 3 DIOPT SCR BASE,2,0,"399.00000","0","1","Vision-Lite®","Active","Lamp, Magnifier","120V","3 Diopter (1.75x), 7.50"" L x 6.25"" W (190.50mm x 158.75mm)","Fluorescent","43.00"" (1092.2mm)","Black","Screw Mount","-"
-,-,1844-1024-ND,72400-SW,O.C. White Co.,LAMP MAGNIFIER 3/4 DIOPTER CLAMP,2,0,"399.00000","0","1","Vision-Lite®","Active","Lamp, Magnifier","120V","3 Diopter (1.75x), 7.50"" L x 6.25"" W (190.50mm x 158.75mm)","Fluorescent","43.00"" (1092.2mm)","White","Edge Clamp","-"
http://www.ocwhite.com/downloadfile/download/aitfile/aitfile_id/44/,//media.digikey.com/Photos/OC-White-Co/MFG_42400-4-BR.JPG,1844-1030-ND,42400-4-BR,O.C. White Co.,LAMP MAGNIFIER 4 DIOPTER CLAMP,2,0,"399.00000","0","1","Green-Lite™","Active","Lamp, Magnifier","100 ~ 240V","4 Diopter (2x), 6.00"" (152.40mm) Diameter","LED, White","43.00"" (1092.2mm)","Red","-","-"
http://www.ocwhite.com/downloadfile/download/aitfile/aitfile_id/44/,//media.digikey.com/Photos/OC-White-Co/MFG_42400-4-MW.JPG,1844-1031-ND,42400-4-MW,O.C. White Co.,LAMP MAGNIFIER 4 DIOPTER CLAMP,2,0,"399.00000","0","1","Green-Lite™","Active","Lamp, Magnifier","100 ~ 240V","4 Diopter (2x), 6.00"" (152.40mm) Diameter","LED, White","43.00"" (1092.2mm)","White","-","-"
http://www.ocwhite.com/downloadfile/download/aitfile/aitfile_id/54/,//media.digikey.com/Photos/OC-White-Co/MFG_52400-4.JPG,1844-1033-ND,52400-4,O.C. White Co.,LAMP MAGNIFIER 4 DIOPTER CLAMP,2,0,"399.00000","0","1","Big Eye™","Active","Lamp, Magnifier","120V","4 Diopter (2x), 7.50"" (190.50mm) Diameter","Fluorescent","43.00"" (1092.2mm)","-","Edge Clamp","-"
http://www.ocwhite.com/downloadfile/download/aitfile/aitfile_id/44/,//media.digikey.com/Photos/OC-White-Co/MFG_62400-4-SW.JPG,1844-1045-ND,62400-4-SW,O.C. White Co.,LAMP MAGNIFIER LED 7.5"" CLAMP,14,0,"489.00000","0","1","Green-Lite™","Active","Lamp, Magnifier","100 ~ 240V","4 Diopter (2x), 7.50"" (190.50mm) Diameter","LED, White","43.00"" (1092.2mm)","White","-","-"
http://www.ocwhite.com/downloadfile/download/aitfile/aitfile_id/44/,//media.digikey.com/Photos/OC-White-Co/MFG_62400-4-S.JPG,1844-1046-ND,62400-4-S,O.C. White Co.,LAMP MAGNIFIER LED 7.5"" CLAMP,10,0,"489.00000","0","1","Green-Lite™","Active","Lamp, Magnifier","100 ~ 240V","4 Diopter (2x), 7.50"" (190.50mm) Diameter","LED, White","43.00"" (1092.2mm)","Silver","-","-"
