Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Lamp/Magnifier Type","Voltage","Lens Style/Size","Bulb","Arm","Color","Mounting Type","Cord Length"
http://www.ocwhite.com/downloadfile/download/aitfile/aitfile_id/44/,//media.digikey.com/Photos/OC-White-Co/MFG_62400-4-MW.JPG,1844-1044-ND,62400-4-MW,O.C. White Co.,LAMP MAGNIFIER LED 7.5"" CLAMP,9,0,"489.00000","0","1","Green-Lite™","Active","Lamp, Magnifier","100 ~ 240V","4 Diopter (2x), 7.50"" (190.50mm) Diameter","LED, White","43.00"" (1092.2mm)","White","-","-"
http://www.ocwhite.com/downloadfile/download/aitfile/aitfile_id/44/,//media.digikey.com/Photos/OC-White-Co/MFG_62400-4-RG.JPG,1844-1047-ND,62400-4-RG,O.C. White Co.,LAMP MAGNIFIER LED 7.5"" CLAMP,4,0,"489.00000","0","1","Green-Lite™","Active","Lamp, Magnifier","100 ~ 240V","4 Diopter (2x), 7.50"" (190.50mm) Diameter","LED, White","43.00"" (1092.2mm)","Green","-","-"
http://www.ocwhite.com/downloadfile/download/aitfile/aitfile_id/44/,//media.digikey.com/Photos/OC-White-Co/MFG_62400-4.JPG,1844-1039-ND,62400-4,O.C. White Co.,LAMP MAGNIFIER LED 7.5"" CLAMP,2,0,"489.00000","0","1","Green-Lite™","Active","Lamp, Magnifier","100 ~ 240V","4 Diopter (2x), 7.50"" (190.50mm) Diameter","LED, White","43.00"" (1092.2mm)","-","-","-"
http://www.ocwhite.com/downloadfile/download/aitfile/aitfile_id/44/,//media.digikey.com/Photos/OC-White-Co/MFG_62400-4-BR.JPG,1844-1042-ND,62400-4-BR,O.C. White Co.,LAMP MAGNIFIER LED 7.5"" CLAMP,2,0,"489.00000","0","1","Green-Lite™","Active","Lamp, Magnifier","100 ~ 240V","4 Diopter (2x), 7.50"" (190.50mm) Diameter","LED, White","43.00"" (1092.2mm)","Red","-","-"
http://www.ocwhite.com/downloadfile/download/aitfile/aitfile_id/44/,//media.digikey.com/Photos/OC-White-Co/MFG_62400-4-CM.JPG,1844-1043-ND,62400-4-CM,O.C. White Co.,LAMP MAGNIFIER LED 7.5"" CLAMP,2,0,"489.00000","0","1","Green-Lite™","Active","Lamp, Magnifier","100 ~ 240V","4 Diopter (2x), 7.50"" (190.50mm) Diameter","LED, White","43.00"" (1092.2mm)","Dark Gray","-","-"
http://www.ocwhite.com/downloadfile/download/aitfile/aitfile_id/44/,//media.digikey.com/Photos/OC-White-Co/MFG_62400-4-SB.JPG,1844-1048-ND,62400-4-SB,O.C. White Co.,LAMP MAGNIFIER LED 7.5"" CLAMP,2,0,"489.00000","0","1","Green-Lite™","Active","Lamp, Magnifier","100 ~ 240V","4 Diopter (2x), 7.50"" (190.50mm) Diameter","LED, White","43.00"" (1092.2mm)","Blue","-","-"
http://www.ocwhite.com/downloadfile/download/aitfile/aitfile_id/44/,//media.digikey.com/Photos/OC-White-Co/MFG_82400-4-SW.JPG,1844-1051-ND,82400-4-SW,O.C. White Co.,LAMP MAGNIFIER LED CLAMP,21,0,"499.00000","0","1","Green-Lite™","Active","Lamp, Magnifier","100 ~ 240V","4 Diopter (2x), 7.00"" L x 5.25"" W (177.80mm x 133.35mm)","LED, White","43.00"" (1092.2mm)","White","-","-"
http://www.ocwhite.com/downloadfile/download/aitfile/aitfile_id/44/,//media.digikey.com/Photos/OC-White-Co/MFG_82400-4-BO.JPG,1844-1050-ND,82400-4-BO,O.C. White Co.,LAMP MAGNIFIER LED CLAMP,5,0,"499.00000","0","1","Green-Lite™","Active","Lamp, Magnifier","100 ~ 240V","4 Diopter (2x), 7.00"" L x 5.25"" W (177.80mm x 133.35mm)","LED, White","43.00"" (1092.2mm)","Orange","-","-"
http://www.ocwhite.com/downloadfile/download/aitfile/aitfile_id/44/,//media.digikey.com/Photos/OC-White-Co/MFG_82400-4-BR.JPG,1844-1053-ND,82400-4-BR,O.C. White Co.,LAMP MAGNIFIER LED CLAMP,4,0,"499.00000","0","1","Green-Lite™","Active","Lamp, Magnifier","100 ~ 240V","4 Diopter (2x), 7.00"" L x 5.25"" W (177.80mm x 133.35mm)","LED, White","43.00"" (1092.2mm)","Red","-","-"
http://www.ocwhite.com/downloadfile/download/aitfile/aitfile_id/44/,//media.digikey.com/Photos/OC-White-Co/MFG_82400-4-RG.JPG,1844-1056-ND,82400-4-RG,O.C. White Co.,LAMP MAGNIFIER LED CLAMP,2,0,"499.00000","0","1","Green-Lite™","Active","Lamp, Magnifier","100 ~ 240V","4 Diopter (2x), 7.00"" L x 5.25"" W (177.80mm x 133.35mm)","LED, White","43.00"" (1092.2mm)","Green","-","-"
http://www.ocwhite.com/downloadfile/download/aitfile/aitfile_id/44/,//media.digikey.com/Photos/OC-White-Co/MFG_82400-4-SB.JPG,1844-1057-ND,82400-4-SB,O.C. White Co.,LAMP MAGNIFIER LED CLAMP,2,0,"499.00000","0","1","Green-Lite™","Active","Lamp, Magnifier","100 ~ 240V","4 Diopter (2x), 7.00"" L x 5.25"" W (177.80mm x 133.35mm)","LED, White","43.00"" (1092.2mm)","Blue","-","-"
