Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Magnification Range"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26800B-443.pdf,//media.digikey.com/Photos/Aven%20Photos/26800B-443.jpg,26800B-443-ND,26800B-443,Aven Tools,EYEPIECE 20X,0,0,"175.49000","0","1","DSW","Active","Eyepiece","20x"
http://www.aventools.com/wp-content/uploads/2016/02/2016-product-catalog.pdf,//media.digikey.com/Photos/Aven%20Photos/26700-162.jpg,26700-162-ND,26700-162,Aven Tools,LENS 0.5X,0,0,"176.42000","0","1","Zoom 640","Active","Lens","0.5x"
http://www.aventools.com/wp-content/uploads/2016/02/2016-product-catalog.pdf,//media.digikey.com/Photos/Aven%20Photos/26700-163.jpg,26700-163-ND,26700-163,Aven Tools,LENS 0.75X,0,0,"176.42000","0","1","Zoom 640","Active","Lens","0.75x"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26800B-455.pdf,//media.digikey.com/Photos/Aven%20Photos/26800B-455.jpg,26800B-455-ND,26800B-455,Aven Tools,EYEPIECE 10X,0,0,"203.57000","0","1","-","Active","Eyepiece, Focusing with Scale","10x"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26800B-456.pdf,//media.digikey.com/Photos/Aven%20Photos/26800B-456.jpg,26800B-456-ND,26800B-456,Aven Tools,EYEPIECE 10X,0,0,"203.57000","0","1","-","Active","Eyepiece, Focusing with Scale","10x"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26800B-457.pdf,//media.digikey.com/Photos/Aven%20Photos/26800B-457.jpg,26800B-457-ND,26800B-457,Aven Tools,EYEPIECE 10X,0,0,"203.57000","0","1","-","Active","Eyepiece, Focusing with Scale","10x"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26800B-458.pdf,//media.digikey.com/Photos/Aven%20Photos/26800B-458.jpg,26800B-458-ND,26800B-458,Aven Tools,EYEPIECE 10X,0,0,"203.57000","0","1","-","Active","Eyepiece, Focusing with Scale","10x"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26800B-459.pdf,//media.digikey.com/Photos/Aven%20Photos/26800B-459.jpg,26800B-459-ND,26800B-459,Aven Tools,EYEPIECE 10X,0,0,"203.57000","0","1","-","Active","Eyepiece, Focusing with Scale","10x"
http://www.aventools.com/wp-content/uploads/2016/02/2016-product-catalog.pdf,//media.digikey.com/Photos/Aven%20Photos/26700-166.jpg,26700-166-ND,26700-166,Aven Tools,LENS 2X,1,0,"235.22000","0","1","Zoom 640","Active","Lens","2x"
http://www.aventools.com/wp-content/uploads/2016/02/2016-product-catalog.pdf,//media.digikey.com/Photos/Aven%20Photos/26700-151.jpg,26700-151-ND,26700-151,Aven Tools,LENS 0.6X - 4X,1,0,"446.53000","0","1","Zoom 640","Active","Lens","0.6x ~ 4x"
http://www.aventools.com/wp-content/uploads/2016/02/2016-product-catalog.pdf,//media.digikey.com/Photos/Aven%20Photos/26700-180.jpg,26700-180-ND,26700-180,Aven Tools,LENS 1.1X - 6X,0,0,"710.72000","0","1","Zoom 7000","Active","Lens","1.1x ~ 6x"
