Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Camera Type","Megapixels","Resolution","Frames per Second","Interface"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26100-222.pdf,-,26100-222-ND,26100-222,Aven Tools,CAMERA 2080 X 1536 USB,0,0,"Obsolete","0","1","Infinity","Obsolete","CCD 1/1.8""","3.3","2080 x 1536","5","USB 2.0"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26100-230.pdf,-,26100-230-ND,26100-230,Aven Tools,CAMERA USB,0,0,"Obsolete","0","1","miniVue","Obsolete","CMOS 1/2""","3.1","-","28","USB 2.0"
-,//media.digikey.com/Photos/Aven%20Photos/26100-240.jpg,243-1117-ND,26100-240,Aven Tools,CAMERA 1280 X 1024 USB,0,0,"Obsolete","0","1","-","Obsolete","CMOS 1/3""","1.3","1280 x 1024","15","USB 2.0"
-,//media.digikey.com/Photos/Aven%20Photos/26100-241.jpg,243-1118-ND,26100-241,Aven Tools,CAMERA 2048 X 1536 USB,0,0,"Obsolete","0","1","-","Obsolete","CMOS 1/2""","3","2048 x 1536","11","USB 2.0"
//media.digikey.com/PDF/Data%20Sheets/Aven%20PDFs/26100-253.pdf,//media.digikey.com/Photos/Aven%20Photos/26100-253.jpg,243-1119-ND,26100-253,Aven Tools,CAMERA 1280 X 1024 VGA,0,0,"Obsolete","0","1","-","Obsolete","CMOS 1/2.5""","1.3","1280 x 1024","30","VGA"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26100-255.pdf,//media.digikey.com/Photos/Aven%20Photos/26100-255.jpg,243-1147-ND,26100-255,Aven Tools,CAMERA 1280 X 720 HDMI,0,0,"Obsolete","0","1","-","Obsolete","CCD 1/3""","-","1280 x 720","60","HDMI"
http://www.avenconnect.com/product_sheets/26100-243.pdf,//media.digikey.com/Photos/Aven%20Photos/26100-243.jpg,243-1492-ND,26100-243,Aven Tools,CAMERA 2592 X 1944 USB,0,0,"Obsolete","0","1","Mighty Cam","Obsolete","CMOS 1/2.5""","5","2592 x 1944","6","USB 2.0"
http://www.aventools.com/wp-content/uploads/2016/02/2016-product-catalog.pdf,//media.digikey.com/Photos/Aven%20Photos/26100-252.jpg,26100-252-ND,26100-252,Aven Tools,CAMERA 1280 X 720 VGA,0,0,"Obsolete","0","1","-","Obsolete","CMOS 1/3""","0.9","1280 x 720","60","VGA"
-,//media.digikey.com/Photos/Aven%20Photos/26100-244.jpg,243-1210-ND,26100-244,Aven Tools,CAMERA 2592 X 1944 USB,0,0,"Obsolete","0","1","Mighty Cam","Obsolete","CMOS 1/2.5""","5","2592 x 1944","45","USB 3.0"
http://www.avenconnect.com/product_sheets/26100-245_ezMeasure_ProductSheet_.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_26100-245.jpg,243-1211-ND,26100-245,Aven Tools,CAMERA 1360 X 1024 USB,0,0,"Obsolete","0","1","Mighty Cam","Obsolete","CCD 1/2""","1.4","1360 x 1024","60","USB 2.0"
//media.digikey.com/pdf/Data%20Sheets/Luxo/MIDAS.pdf,//media.digikey.com/Photos/Luxo%20Photos/MFG_MIDAS.jpg,MIDAS-ND,MIDAS,Luxo,CAMERA 2592 X 1944 USB,0,0,"Discontinued at Digi-Key","0","1","MIDAS®","Discontinued at Digi-Key","CMOS 1/4""","5","2592 x 1944","-","USB 2.0"
//media.digikey.com/pdf/Data%20Sheets/Luxo/MIDAS-GS.pdf,//media.digikey.com/Photos/Luxo%20Photos/MFG_MIDAS-GS.jpg,MIDAS-GS-ND,MIDAS-GS,Luxo,CAMERA 2592 X 1944 USB,0,0,"Discontinued at Digi-Key","0","1","MIDAS®","Discontinued at Digi-Key","CMOS 1/4""","5","2592 x 1944","-","USB 2.0"
//media.digikey.com/pdf/Data%20Sheets/Luxo/MIDAS-ST.pdf,//media.digikey.com/Photos/Luxo%20Photos/MFG_MIDAS-ST.jpg,MIDAS-ST-ND,MIDAS-ST,Luxo,CAMERA 2592 X 1944 USB,0,0,"Discontinued at Digi-Key","0","1","MIDAS®","Discontinued at Digi-Key","CMOS 1/4""","5","2592 x 1944","-","USB 2.0"
