Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Clothing Type","Size","Material","Color","Features"
http://documents.desco.com/PDF/68120.pdf,//media.digikey.com/Photos/Desco%20Photos/68120.JPG,16-1173-ND,68120,Desco,GLOVES YARN GRAY SMALL 1PAIR,100,0,"5.75000","0","1","-","Active","Gloves, Non Gendered - Dissipative","Small","Yarn","Gray","Static Dissipative"
http://documents.desco.com/PDF/68120.pdf,//media.digikey.com/Photos/Desco%20Photos/68122.JPG,16-1175-ND,68122,Desco,GLOVES YARN GRAY LARGE 1PAIR,42,0,"5.75000","0","1","-","Active","Gloves, Non Gendered - Dissipative","Large","Yarn","Gray","Static Dissipative"
http://documents.desco.com/PDF/td17120.pdf,//media.digikey.com/Photos/Desco%20Photos/17121.jpg,16-1312-ND,17121,Desco,DSSPTV GLOVES NITRILE MD 100PC,53,0,"29.50000","0","1","-","Active","Gloves, Non Gendered - Dissipative","Medium","Nitrile Rubber","Translucent","Additional Grounding Required, Chemical Resistant, Latex Free, Puncture Resistant, Textured Fingers"
http://documents.desco.com/PDF/td17120.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_17122.jpg,16-1396-ND,17122,Desco,DSSPTV GLOVES NITRILE LG 100PC,11,0,"29.50000","0","1","-","Active","Gloves, Non Gendered - Dissipative","Large","Nitrile Rubber","Translucent","Additional Grounding Required, Chemical Resistant, Latex Free, Puncture Resistant, Textured Fingers"
//media.digikey.com/pdf/Data%20Sheets/ACL%20PDFs/Finger_Cots_Latex.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/80LA-x.JPG,ST1115-ND,80LA-L,ACL Staticide Inc,FINGER COTS BLACK LRG 720/PK,16,0,"30.75000","0","1","-","Active","Finger Cots","Large","Latex","Black","-"
http://documents.staticcontrol.com/PDF/Smocks-User-Guide.pdf,//media.digikey.com/Photos/SCS/770012.jpg,SCP580-ND,770014,SCS,SMOCK JACKET W/CUFFS BLUE XL,14,0,"35.28000","0","1","7700","Active","Smock, Jacket Length with Cuffs","XLarge","Polyester","Blue","4mm Snap Stud on Hip, Additional Grounding Required, Conductive Fabric on Cuff"
http://documents.desco.com/PDF/TB-2055.PDF,//media.digikey.com/Photos/Desco%20Photos/73765.JPG,16-1237-ND,73765,Desco,ESD JACKET W/CUFFS BLUE XL,21,0,"54.87000","0","1","Statshield®","Active","Smock, Jacket Length with Cuffs","XLarge","Polyester","Blue","4mm Snap Stud on Hip, Conductive Fabric on Cuff"
http://documents.desco.com/PDF/TB-2055.PDF,//media.digikey.com/photos/Desco%20Photos/MFG_73860.jpg,16-1568-ND,73861,Desco,ESD SMOCK JCKT KNTTD CFFS BK SM,10,0,"57.61000","0","1","Statshield®","Active","Smock, Jacket Length with Cuffs","Small","Polyester","Black","4mm Snap Stud on Hip, Badge Tab, Pockets, Static Dissipative"
http://documents.desco.com/PDF/TB-2055.PDF,//media.digikey.com/photos/Desco%20Photos/MFG_73860.jpg,16-1464-ND,73864,Desco,ESD SMOCK JCKT KNTTD CFFS BK XL,10,0,"57.61000","0","1","Statshield®","Active","Smock, Jacket Length with Cuffs","XLarge","Polyester","Black","4mm Snap Stud on Hip, Badge Tab, Pockets, Static Dissipative"
http://documents.desco.com/PDF/TB-2055.PDF,//media.digikey.com/Photos/Desco%20Photos/73612.JPG,16-1250-ND,73612,Desco,ESD LAB COAT W/CUFFS BLUE M,27,0,"60.50000","0","1","Statshield®","Active","Smock, Lab Coat Length with Cuffs","Medium","Polyester","Blue","4mm Snap Stud on Hip, Conductive Fabric on Cuff"
