Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Cleaner, Treatment Type","Usage","Specifications","Quantity"
https://www.chemtronics.com/content/msds/TDS_CSP20.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/CSP20.JPG,CSP20-ND,CSP20,Chemtronics,WIPES PRE-SAT SCREENS 50 PIECES,136,0,"44.78000","0","1","Individual Packets","Screen Prep™","Active","Wipes, Wet","Displays, Monitors","CFC/HCFC Free, Nonabrasive, Plastic Safe","50 (25 Twin Pack)"
https://www.chemtronics.com/content/msds/TDS_CP421.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/CP421.JPG,CP421-ND,CP421,Chemtronics,WIPES PRE-SAT LENS OPTICS 25PCS,277,0,"68.94000","0","1","Individual Packets","Electro-Wash® MX","Active","Wipes, Wet","Electronic Equipment","CFC/HCFC Free","25 (8"" L x 10"" W)"
https://www.chemtronics.com/content/msds/TDS_CP410.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/CP410.jpg,CP410-ND,CP410,Chemtronics,WIPES PRE-SAT LENS OPTICS 50PCS,83,0,"37.38000","0","1","Individual Packets","Optic Prep™","Active","Wipes, Wet","Glass, Plastics","CFC/HCFC Free, Nonabrasive, Plastic Safe","50 (4"" L x 8.25"" W)"
https://www.chemtronics.com/content/msds/TDS_COV6200.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/6209.JPG,6209-ND,6209,Chemtronics,POLYWIPES CLEANROOM 9X9"" 150PC,42,0,"96.46000","0","1","Bag","Coventry™","Active","Wipes, Dry","Critical Tasks","Lint Free, Microfiber","1 (150 ea 9"" L x 9"" W)"
https://www.aclstaticide.com/datasheets/MFC1TDS_0815.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_MFC24.jpg,ST1150-ND,MFC24,ACL Staticide Inc,STATICIDE MICROFIBER CLOTH BLUE,84,0,"4.25000","0","1","-","ACL Staticide®","Active","Wipes, Dry","Multiple Surfaces","General Purpose, Light Blue, Lint Free, Microfiber","-"
http://www.aclstaticide.com/datasheets/SW12TDS_0610.pdf,//media.digikey.com/photos/ACL%20Staticide%20Photos/MFG_SW12.jpg,ST1059-ND,SW12,ACL Staticide Inc,TOWELETTES STATICIDE ANTISTATIC,82,0,"7.95000","0","1","Box of Individual Packets","Staticide®","Active","Wipes, Antistatic","Electronic Equipment","Anti-Static, Biodegradable, Low VOC","1 (24 ea 8"" L x 5"" W)"
https://www.techspray.com/content/msds/TS-1702_ENG_TDS.pdf,//media.digikey.com/Photos/Techspray/1702-8FP.JPG,1873-1005-ND,1702-8FP,Techspray,ZERO CHARGE HAND LOTION,50,0,"8.23000","0","1","-","-","Active","Lotion, Hand","Moisturizing, Static Dissipation","Silicone-Free","8 Ounce"
http://multimedia.3m.com/mws/mediawebserver?mwsId=SSSSSuUn_zu8l00xm8tUnxt9Ov70k17zHvu9lxtD7SSSSSS--,//media.digikey.com/Photos/3M%20Photos/8001.jpg,SCP439-ND,8001,3M,CLEANER MARK REMOVER ANTISTATIC,56,0,"9.94000","0","1","Bottle, Spray","-","Active","Solvent","Multiple Surfaces","Anti-Static Dispenser","1 Quart"
http://www.aclstaticide.com/datasheets/3000GTDS_old.pdf,//media.digikey.com/photos/ACL%20Staticide%20Photos/2003.jpg,ST1002-ND,2003,ACL Staticide Inc,STATICIDE GENERAL PURPOSE QUART,64,0,"11.20000","0","1","Bottle, Spray","Staticide®","Active","Liquid, Antistatic","Multiple Surfaces","Anti-Static, Biodegradable","1 Quart"
https://www.aclstaticide.com/datasheets/LowLintWipes_TDS_18.pdf,//media.digikey.com/photos/ACL%20Staticide%20Photos/8044.jpg,ST1031-ND,8044,ACL Staticide Inc,WIPES ELECTRONICS 75 PIECES,29,0,"11.50000","0","1","Bag","Staticide®","Active","Wipes, Dry","Multiple Surfaces","General Purpose, Lint Free","12 (75 ea 6"" L x 6"" W)"
http://www.aclstaticide.com/datasheets/7600TDS_0814.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_7600.jpg,ST1100-ND,7600,ACL Staticide Inc,IPA WIPES PRE-SATURATED 100PCS,50,0,"18.50000","0","1","Canister","Staticide®","Active","Wipes, Wet","Electronic Equipment","Lint Free, Plastic Safe","1 (100 ea 8"" L x 5"" W)"
https://www.techspray.com/Content/msds/2350100_eng_usa_tds.pdf,//media.digikey.com/Photos/Techspray/MFG_2350-100.jpg,1873-1117-ND,2350-100,Techspray,TECHCLEAN WIPER,35,0,"26.47000","0","1","-","-","Active","Wipes, Dry","Moisture Absorption","Class 100 Packaged, Low Lint","100 (10"" L x 8"" W)"
https://www.techspray.com/content/msds/TS-1733_ENG_TDS.pdf,//media.digikey.com/Photos/Techspray/MFG_1733-G.jpg,1873-1007-ND,1733-G,Techspray,ZERO CHARGE MAT & TABLE TOP CLEA,6,0,"35.29000","0","1","-","-","Active","Cleaner, Antistatic","Mats, Surfaces","Anti-Static","1 Gallon"
https://www.aclstaticide.com/datasheets/6500_TDS_18.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_6500.jpg,ST1087-ND,6500,ACL Staticide Inc,ESD SAFETY SHIELD AEROSOL,12,0,"37.25000","0","1","Aerosol Can","Staticide® ESD","Active","Coating, Antistatic","Glass, Plastics","Low VOC, Silicon Free","8 Ounce"
https://www.chemtronics.com/content/msds/TDS_CP400.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/CP400.jpg,CP400-ND,CP400,Chemtronics,WIPES PRE-SAT ELECTRONICS 50PCS,100,0,"42.74000","0","1","Individual Packets","Chempad™","Active","Wipes, Wet","Multiple Surfaces","CFC/HCFC Free, General Purpose, Lint Free, Nonabrasive, Plastic Safe","50 (4"" L x 3"" W)"
http://www.aclstaticide.com/datasheets/4020TDS_0412.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_4020-1.jpg,ST1089-ND,4020-1,ACL Staticide Inc,NEUTRAL CLEANER CONCENTRATE GAL,22,0,"53.00000","0","1","Bottle","Staticide®","Active","Cleaner, Antistatic","Multiple Surfaces","General Purpose, Non-Acidic","1 Gallon"
http://documents.desco.com/PDF/TB-7046.pdf,//media.digikey.com/photos/Desco%20Photos/MFG_35660.jpg,EB1538-ND,35660,MENDA/EasyBraid,LOTION HAND REZTORE 8OZ 12 PACK,2,0,"79.47000","0","1","Bottle","Reztore™, Menda","Active","Lotion, Hand","Moisturizing, Static Dissipation","Anti-Static, Non-Acidic","8 Ounce"
http://documents.staticcontrol.com/PDF/Desiccant_Plastic_KraftPaper.pdf,//media.digikey.com/photos/3M%20Photos/1%5E6PLDES1200.jpg,SCP666-ND,1/6PLDES1200,SCS,1/6 U PLASTIC DESI 1200/PAIL,6,0,"110.25000","0","1","Pail of Individual Packets","-","Active","Desiccant","Moisture Absorption","Montmorillonte Clay, Sulphur Free","1 (1200 ea 2.125"" L x 2.125"" W)"
http://www.aclstaticide.com/datasheets/SW12TDS_0610.pdf,//media.digikey.com/photos/ACL%20Staticide%20Photos/2450.jpg,ST1007-ND,2450,ACL Staticide Inc,STATICIDE WIPES - BULK 450 PCS,9,0,"130.00000","0","1","Box of Individual Packets","Staticide®","Active","Wipes, Antistatic","Electronic Equipment","Biodegradable, Low VOC","450 (11"" L x 8"" W)"
