Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Cleaner, Treatment Type","Usage","Specifications","Quantity"
http://www.aclstaticide.com/datasheets/4100TDS_1012.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_4100-1.jpg,ST1125-ND,4100-1,ACL Staticide Inc,STATIC DISS RESTORER 1 GAL,2,0,"49.25000","0","1","Bottle","Staticide®","Active","Cleaner, Restorer","Floors","Biodegradable","1 Gallon"
"//media.digikey.com/pdf/Data%20Sheets/ITW%20Chemtronics/6704,6709,6713,6736.pdf",//media.digikey.com/photos/ITW%20Chemtronics%20Photos/6709.JPG,6709CH-ND,6709,Chemtronics,ECONOWIPES CLEANROOM 9X9"" 300PC,0,0,"50.52000","0","1","Bag","Coventry™ Econowipes™","Active","Wipes, Dry","Multiple Surfaces","Class 100 Packaged, Low Lint","12 (300 ea 9"" L x 9"" W)"
//media.digikey.com/pdf/Data%20Sheets/ACL%20PDFs/Staticide.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_2002.jpg,ST1088-ND,2002,ACL Staticide Inc,HEAVY DUTY STATICIDE 1 GAL,3,0,"60.00000","0","1","Bottle","Staticide®","Active","Liquid, Antistatic","High Friction Surfaces","Anti-Static, Biodegradable","1 Gallon"
http://www.aclstaticide.com/datasheets/4800TDS_14.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_4800-1.jpg,ST1155-ND,4800-1,ACL Staticide Inc,FLOOR FINISH ANTISTATIC 1 GALLON,5,0,"83.50000","0","1","Bottle","Staticide® Ultra II","Active","Floor Finish, Antistatic","Floors","Biodegradable, Low VOC","1 Gallon"
http://www.aclstaticide.com/datasheets/4600TDS_1011.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_4600-1.jpg,ST1154-ND,4600-1,ACL Staticide Inc,FLOOR FINISH ULTRA LUSTRE 1 GAL,4,0,"83.50000","0","1","Bottle","Staticide® Ultra","Active","Floor Finish, Antistatic","Floors","Anti-Static, Biodegradable, Low VOC","1 Gallon"
http://www.aclstaticide.com/pdf/ACL-Staticide-Static-Control-Brochure-2014.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_6x00Q.jpg,ST1070-ND,6300Q,ACL Staticide Inc,ANTISTATIC COATING PLASTICS 1 QT,0,0,"136.00000","0","1","Bottle","Staticide®","Active","Coating, Antistatic","Plastic Surfaces","General Purpose","1 Quart"
//media.digikey.com/pdf/Data%20Sheets/ACL%20PDFs/Staticide.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_530.jpg,ST1072-ND,530,ACL Staticide Inc,GEN PURP STATICIDE 4OZ BTL,5,0,"5.75000","0","1","Bottle, Spray","Staticide®","Active","Liquid, Antistatic","Multiple Surfaces","General Purpose","4 Ounce"
//media.digikey.com/pdf/Data%20Sheets/ACL%20PDFs/Staticide.pdf,//media.digikey.com/photos/ACL%20Staticide%20Photos/520.JPG,ST1001-ND,520,ACL Staticide Inc,STATICIDE HEAVY DUTY 4 OZ,21,0,"6.10000","0","1","Bottle, Pump","Staticide®","Active","Liquid, Antistatic","Multiple Surfaces","-","4 Ounce"
http://www.aclstaticide.com/datasheets/8670TDS_15.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_8670.jpg,ST8670-ND,8670,ACL Staticide Inc,CLEANER GLASS AND PLASTIC 15 OZ,22,0,"8.25000","0","1","Aerosol Can","ACL Staticide®","Active","Cleaner, Antistatic","Glass, Plastics","CFC/HCFC Free, Nonabrasive, Plastic Safe","15 Ounce"
http://www.mgchemicals.com/downloads/appguide/appguide1006.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_824P-50.jpg,473-1105-ND,824P-50,MG Chemicals,CLEANING CLOTH GEN PURPOSE 50PCS,11,0,"13.21000","0","1","Box of Individual Packets","-","Active","Wipes, Wet","Electronic Equipment","Lint Free, Nonabrasive, Plastic Safe","1 (50 ea 4"" L x 3"" W)"
https://www.mgchemicals.com/downloads/tds/tds-8242-k.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/8242-K.jpg,473-1106-ND,8242-K,MG Chemicals,CLEANING KIT SCREEN 200ML/6.8 OZ,11,0,"13.52000","0","1","Bulk","-","Active","Cleaning Cloth","Displays, Monitors","Anti-Static, Lint Free","1"
http://documents.desco.com/PDF/TB-7005.pdf,//media.digikey.com/photos/Desco%20Photos/10415.JPG,16-1244-ND,10415,Desco,ANTISTATIC SPRAY REZTORE 1QT.,10,0,"13.67000","0","1","Bottle, Spray","Reztore™, Menda","Active","Liquid, Antistatic","Multiple Surfaces","Anti-Static, Non-Combustible","1 Quart"
https://www.mgchemicals.com/downloads/tds/tds-8241.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_8241-WXxx.jpg,473-1148-ND,8241-WX25,MG Chemicals,WIPES PRE-SAT ELECT 25 PIECES,17,0,"14.74000","0","1","Box of Individual Packets","-","Active","Wipes, Wet","Electronic Equipment","General Purpose","1 (25 ea 6"" L x 5"" W)"
https://www.mgchemicals.com/downloads/catalogs/Elec%20Maint%20catalog%20Web.pdf,//media.digikey.com/photos/MG%20Chemicals%20Photos/8242-WX25.jpg,473-1086-ND,8242-WX25,MG Chemicals,WIPES PRE-SAT SCREENS 25 PIECES,0,0,"14.74000","0","1","Box of Individual Packets","-","Active","Wipes, Wet","Displays, Monitors","Anti-Static, Lint Free","1 (25 ea 6"" L x 5"" W)"
https://www.aclstaticide.com/datasheets/7001%20TDS_0618.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_7001S.jpg,ST1130-ND,7001S,ACL Staticide Inc,HAND LOTION ESD DISSIPATE FF 1OZ,19,0,"2.20000","0","1","-","ACL Staticide®","Active","Lotion, Hand","Moisturizing, Static Dissipation","Non-Acidic, Silicone Free","1 Ounce"
-,//media.digikey.com/photos/MG%20Chemicals%20Photos/MFG_826-450G.jpg,473-1401-ND,826-450G,MG Chemicals,STATIC OFF ANTISTATIC FOAM SPRAY,18,0,"9.13000","0","1","-","Static Off™","Active","Cleaner, Multi-Purpose","Mats, Surfaces","Anti-Static","465ml"
http://www.aclstaticide.com/datasheets/4020TDS_0412.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_4030-1.jpg,ST1102-ND,4030-1,ACL Staticide Inc,NEUTRAL CLEANER RTU 1 GAL,12,0,"12.25000","0","1","Bottle","Staticide®","Active","Cleaner, Antistatic","Multiple Surfaces","General Purpose, Non-Acidic","1 Gallon"
-,//media.digikey.com/photos/MG%20Chemicals%20Photos/MFG_824-WX25.jpg,473-1399-ND,824-WX25,MG Chemicals,99.9% ISOPROPYL ALCOHOL WIPE,16,0,"14.74000","0","1","-","-","Active","Wipes, Wet","Electronic Equipment","General Purpose","25 (6"" L x 5"" W)"
http://www.aclstaticide.com/datasheets/3000GTDS_old.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_2001.jpg,ST1101-ND,2001,ACL Staticide Inc,GEN PURPOSE STATICIDE 1 GALLON,4,0,"27.25000","0","1","Bottle","Staticide®","Active","Liquid, Antistatic","Multiple Surfaces","Anti-Static, Biodegradable","1 Gallon"
-,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_LF56.jpg,ST1178-ND,LF56,ACL Staticide Inc,CLEAN WIPES HEAVY DUTY LF 50PCS,2,0,"36.00000","0","1","-","ACL Staticide®","Active","Wipes, Dry","Multiple Surfaces","General Purpose, Lint Free, White","50 (13"" L x 12"" W)"
https://www.aclstaticide.com/datasheets/8409MF_TDS_18.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_8409MF.jpg,ST1144-ND,8409MF,ACL Staticide Inc,WIPE NONWOVEN MICROFIBER 9""X9"" 1,1,0,"41.00000","0","1","-","Staticide®","Active","Wipes, Antistatic","Electronic Equipment","Anti-Static, Microfiber, Non-Abrasive","150 (9"" L x 9"" W)"
https://www.aclstaticide.com/datasheets/LowLintWipes_TDS_18.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_LF99B.jpg,ST1143-ND,LF99B,ACL Staticide Inc,LOW LINT NONWOVEN WIPES 9""X9"" BL,4,0,"42.00000","0","1","-","Staticide®","Active","Wipes, Antistatic","Electronic Equipment, Mats, Surfaces","Low Lint","300 (9"" L x 9"" W)"
https://www.techspray.com/content/msds/TS-1702_ENG_TDS.pdf,//media.digikey.com/Photos/Techspray/1702-G.JPG,1873-1006-ND,1702-G,Techspray,ZERO CHARGE HAND LOTION,1,0,"67.58000","0","1","-","-","Active","Lotion, Hand","Moisturizing, Static Dissipation","Silicone-Free","1 Gallon"
https://www.aclstaticide.com/datasheets/7001%20TDS_0618.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_7002.jpg,ST1167-ND,7002,ACL Staticide Inc,STATICIDE HAND LOTION PUMP 1 GAL,5,0,"72.00000","0","1","Bottle, Pump","Staticide®","Active","Lotion, Hand","Moisturizing, Static Dissipation","-","1 Gallon"
https://www.aclstaticide.com/datasheets/MFC1TDS_0815.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_MFC1.jpg,MFC1-ND,MFC1,ACL Staticide Inc,CLOTH GENERAL PURPOSE,0,0,"4.10000","0","72","Box","Staticide®","Active","Wipes, Dry","Multiple Surfaces","General Purpose, Light Blue, Lint Free, Microfiber","72 (9"" L x 9"" W)"
-,//media.digikey.com/Photos/Chemtronics/MFG_FSP100DRY.jpg,FSP100DRY-ND,FSP100DRY,Chemtronics,WIPES DRY MULTI SURFACE 12CNSTRS,0,0,"9.22000","0","12","Canister","FOCCUS™, FSW™","Active","Wipes, Dry","Multiple Surfaces","Lint Free, Nonabrasive","12 (100 ea 3"" L x 3"" W)"
-,//media.digikey.com/Photos/SCS/MFG_ANTISTAT1QT.jpg,SCP441-ND,ANTISTAT1QT,SCS,STATICIDE GENERAL PURPOSE QUART,9,0,"11.33000","0","1","Bottle, Spray","Staticide®","Obsolete","Liquid, Antistatic","Multiple Surfaces","Anti-Static, Biodegradable","1 Quart"
"//media.digikey.com/pdf/Data%20Sheets/ITW%20Chemtronics/6704,6709,6713,6736.pdf",-,6713-ND,6713,Chemtronics,ECONOWIPES NONWOVEN 12X13"" 50PC,0,0,"14.98000","0","10","Bag","Coventry™ Econowipes™","Active","Wipes, Dry","Multiple Surfaces","Class 100 Packaged, Low Lint","10 (50 ea 13"" L x 12"" W)"
https://www.techspray.com/content/msds/TS-1726_ENG_TDS.pdf,//media.digikey.com/Photos/Techspray/MFG_1726-QT.jpg,1726-QT-ND,1726-QT,Techspray,ZERO CHARGE ANTI-STAT,0,0,"15.84000","0","12","-","-","Active","Coating, Antistatic","Multiple Surfaces","General Purpose","12 (1 Quart ea)"
https://www.techspray.com/Content/msds/23662367_eng_usa_tds.pdf,//media.digikey.com/Photos/Techspray/MFG_2367-MPM.jpg,1873-1097-ND,2367-MPM,Techspray,TECH ROLL ULTRA MPM PRINTERS,0,0,"16.52000","0","25","-","-","Active","Wipes, Dry","Moisture Absorption","Low Lint","-"
http://documents.desco.com/PDF/TB-7045.pdf,-,46010D-ND,46010,Desco,SPRY BUFF STTFREE 1QRT BTTL,0,0,"20.42000","0","1","Bottle, Spray","Statfree®","Active","Cleaner, Restorer","Floors","Anti-Static","1 Quart"
http://documents.desco.com/PDF/TB-7046.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_35667.jpg,35667-ND,35667,MENDA/EasyBraid,LOTION NON-ACIDIC 32OZ BOTTLE,0,0,"24.69000","0","1","Bottle, Pump","Reztore™","Active","Lotion, Hand","Moisturizing, Static Dissipation","Non-Acidic","32 Ounce"
https://www.mgchemicals.com/downloads/tds/tds-8241.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_8241-WXxx.jpg,473-1307-ND,8241-WX50,MG Chemicals,WIPES PRE-SAT ELECTRONICS 50PCS,4,0,"26.13000","0","1","Box of Individual Packets","-","Obsolete","Wipes, Wet","Electronic Equipment","General Purpose","1 (50 ea 6"" L x 5"" W)"
https://www.mgchemicals.com/downloads/catalogs/Elec%20Maint%20catalog%20Web.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_8282-300.jpg,8282-300-ND,8282-300,MG Chemicals,HYDROWIPES 9X9"",0,0,"39.11800","0","5","Bulk","-","Active","Wipes, Dry","Moisture Absorption","-","1 (300 ea 9"" L x 8"" W)"
http://www.aclstaticide.com/datasheets/4020TDS_0412.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_4030-5.jpg,4030-5-ND,4030-5,ACL Staticide Inc,NEUTRAL CLNR RDY TO USE 5 GAL,0,0,"52.00000","0","1","Pail","Staticide®","Active","Cleaner, Antistatic","Multiple Surfaces","General Purpose, Non-Acidic","5 Gallon"
-,//media.digikey.com/Photos/3M%20Photos/MFG_LOTION1GAL.jpg,LOTION1GAL-ND,LOTION1GAL,SCS,STATIC SAFE HAND LOTION 1 GALLON,0,0,"55.97000","0","1","Bottle, Pump","Staticide®","Not For New Designs","Lotion, Hand","Moisturizing, Static Dissipation","Anti-Static","1 Gallon"
https://www.chemtronics.com/content/msds/TDS_C910.pdf,-,C910-ND,C910,Chemtronics,WIPES DRY CRITICAL TASKS 6 BAGS,0,0,"58.12000","0","6","Bag","ControlWipes™","Active","Wipes, Dry","Critical Tasks","Lint Free, Nonabrasive","6 (150 ea 9"" L x 9"" W)"
http://documents.desco.com/PDF/TB-7026.pdf,-,46020D-ND,46020,Desco,STRPPR FLR STTGRD 2.5GAL BOX,0,0,"59.16000","0","1","Bag-in-Box","Statguard®","Active","Solvent","Floors","Biodegradable, Low PH, Low Residue","2.5 Gallon"
http://documents.desco.com/PDF/tb-2000.pdf,-,10441-ND,10441,Desco,STRP FLR STTGRD 2.5GAL BOX,0,0,"66.28000","0","1","Bag-in-Box","Statguard®","Active","Solvent","Floors","Biodegradable, Low PH, Low Residue","2.5 Gallon"
http://documents.desco.com/PDF/TB-7046.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_35659.jpg,35659-ND,35659,MENDA/EasyBraid,LOTION NON-ACIDIC 12-8OZ BOTTLES,0,0,"67.78000","0","1","Bottle","Reztore™","Active","Lotion, Hand","Moisturizing, Static Dissipation","Non-Acidic","12 (8 Ounce ea)"
https://www.chemtronics.com/content/msds/TDS_C920.pdf,-,C920-ND,C920,Chemtronics,WIPES DRY GLASS PLASTICS 6 BAGS,0,0,"68.10000","0","6","Bag","OpticWipes™","Active","Wipes, Dry","Glass, Plastics","Lint Free, Nonabrasive","6 (500 ea 9"" L x 9"" W)"
http://documents.desco.com/PDF/TB-7044.pdf,-,81061D-ND,81061,Desco,"RESTORER, BURNISHING, STATFREE 2",0,0,"68.42600","0","5","-","Statfree®","Active","Burnishing Restorer","Floors","Dissipative","2.5 Gallon"
http://documents.desco.com/PDF/tb-7005.pdf,-,10418-ND,10418,Desco,ANTISTAT TOP REZTORE 2.5GAL BOX,0,0,"73.27000","0","1","Bag-in-Box","Reztore™","Active","Cleaner, Restorer","Mats, Surfaces","Anti-Static","2.5 Gallon"
http://documents.desco.com/PDF/TB-7044.pdf,-,46011-ND,46011,Desco,BRNSHNG RSTRR STTFREE 2.5GAL BOX,0,0,"75.70000","0","1","Bag-in-Box","Statguard®","Active","Cleaner, Restorer","Floors","Anti-Static","2.5 Gallon"
http://www.aclstaticide.com/datasheets/4300TDS_1011.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_4300-1.jpg,4300-1-ND,4300-1,ACL Staticide Inc,ECO ACRYLIC FLOOR FINISH 1 GAL,0,0,"81.25000","0","4","Bottle","Staticide®","Active","Floor Finish, Antistatic","Floors","Biodegradable, Low VOC","4 (1 Gallon ea)"
-,-,06839-ND,06839,3M,3M BOOTH COATING IS A WATER-,0,0,"82.67000","0","4","-","Dirt Trap","Active","Booth Coating","Paint Booths","Solvent Resistant","1 Gallon"
http://documents.staticcontrol.com/PDF/Desiccant_Plastic_KraftPaper.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_desiccant%20plastic%20pouch.jpg,1/3PLDES700-ND,1/3PLDES700,SCS,DESICCANT 1/3 PLAST BAG 700/PAIL,0,0,"82.94000","0","1","Pail of Individual Packets","-","Active","Desiccant","Moisture Absorption","Montmorillonte Clay, Sulphur Free","700 (2.5"" L x 2.125"" W)"
//media.digikey.com/pdf/Data%20Sheets/ACL%20PDFs/4700_Staticide.pdf,-,ACL10R-1-ND,ACL 10R-1,ACL Staticide Inc,SEALER / PRIMER GAL,0,0,"83.00000","0","1","Pail","ACL Staticide®","Active","Primer","Floors","-","1 Gallon"
http://documents.protektivepak.com/PDF/48881.pdf,-,48888-ND,48888,Desco,DESICCANT MONT CLAY 2X4"" 300PC,0,0,"85.93000","0","1","Pail","Desi Pak®","Active","Desiccant","Moisture Absorption","Montmorillonite Clay","300 (2"" L x 4"" W)"
http://documents.desco.com/PDF/TB-7052.pdf,-,46022D-ND,46022,Desco,NTRLZR FLR STTGRD 2.5GAL BOX,0,0,"90.52000","0","1","Bag-in-Box","Statguard®","Active","Cleaner, Restorer","Floors","-","2.5 Gallon"
http://documents.staticcontrol.com/PDF/Desiccant_Plastic_KraftPaper.pdf,//media.digikey.com/Photos/SCS/MFG_1%5E2KDES550.jpg,1/2KDES550-ND,1/2KDES550,SCS,DESICCANT 1/2 UNIT 550/PAIL,0,0,"93.50000","0","1","Pail of Individual Packets","-","Active","Desiccant","Moisture Absorption","Montmorillonte Clay, Sulphur Free","1 (550 ea 3.5"" L x 2.375"" W)"
http://documents.desco.com/PDF/TB-7041.pdf,-,46030D-ND,46030,Desco,CLNR FLR NTRL STTGRD 2.5GAL BOX,0,0,"101.92000","0","1","Bag-in-Box","Statguard®","Active","Cleaner, Restorer","Floors","Anti-Static","2.5 Gallon"
http://documents.desco.com/PDF/TB-7041.pdf,-,10561-ND,10561,Desco,CLNR FLR NTRL STTGRD 2.5GAL BOX,0,0,"102.18000","0","1","Bag-in-Box","Statguard®","Active","Cleaner, Antistatic","Floors","Anti-Static","2.5 Gallon"
-,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_6001-5.jpg,6001-5-ND,6001-5,ACL Staticide Inc,MAT/TABLE TOP CLEANER 5 GAL PAIL,0,0,"108.00000","0","1","Pail","Staticide®","Active","Cleaner, Antistatic","Mats, Surfaces","General Purpose","5 Gallon"
https://www.chemtronics.com/content/msds/6259BESD-6254BESD_ENG_TDS.pdf,-,6254BESD-ND,6254BESD,Chemtronics,COVENTRY POLY-ONYX ESD WIPES (4"",0,0,"110.30000","0","10","-","Poly-Onyx™","Active","Wipes, Dry","Critical Tasks","Dissipative, Lint Free","10 (600 ea 4"" L x 4"" W)"
http://documents.desco.com/PDF/TB-7026.pdf,-,46021D-ND,46021,Desco,STRPPR FLR STTGRD 5GAL BOX,0,0,"111.99000","0","1","Bag-in-Box","Statguard®","Active","Solvent","Floors","Biodegradable, Low PH, Low Residue","5 Gallon"
https://www.chemtronics.com/content/msds/TDS_COV6200.pdf,-,6209HC-ND,6209HC,Chemtronics,WIPES DRY CRITICAL TASKS 150/BAG,0,0,"112.46000","0","12","Bag","Coventry™, Poly-Wipes™","Active","Wipes, Dry","Critical Tasks","Lint Free, Low VOC, Nonabrasive","12 (150 ea 9"" L x 9"" W)"
https://www.chemtronics.com/content/msds/TDS_COV6200.pdf,-,6259-ND,6259,Chemtronics,WIPES DRY CRITICAL TASKS 150/BAG,0,0,"116.82000","0","12","Bag","Coventry™, Poly-Wipes™","Active","Wipes, Dry","Critical Tasks","Lint Free, Low VOC, Nonabrasive","12 (150 ea 9"" L x 9"" W)"
http://documents.desco.com/PDF/48881.pdf,-,48880-ND,48880,Desco,DESICCANT PAK 1/2 UNIT 550 PAIL,0,0,"117.33000","0","1","Pail of Individual Packets","Protektive Pak®","Active","Desiccant","Moisture Absorption","Montmorillonte Clay, Sulphur Free","1 (550 ea 3"" L x 1.5"" W)"
https://www.chemtronics.com/content/msds/TDS_COV6200.pdf,-,6259HC-ND,6259HC,Chemtronics,WIPES DRY CRITICAL TASKS 150/BAG,0,0,"125.50000","0","12","Bag","Coventry™, Poly-Wipes™","Active","Wipes, Dry","Critical Tasks","Lint Free, Low VOC, Nonabrasive","12 (150 ea 9"" L x 9"" W)"
http://documents.desco.com/PDF/TB-7026.pdf,-,10442D-ND,10442,Desco,STRP FLR STTGRD 5GAL BOX,0,0,"127.36000","0","1","Bag-in-Box","Statguard®","Active","Solvent","Floors","Biodegradable, Low PH, Low Residue","5 Gallon"
http://documents.desco.com/PDF/13850.pdf,-,13843-ND,13843,Desco,DESICCANT PAK CASE 450,0,0,"128.33000","0","1","Box of Individual Packets","Desi Pak®","Active","Desiccant","Moisture Absorption","Montmorillonite Clay","450 (4"" L x 2"" W)"
http://documents.protektivepak.com/PDF/48881.pdf,-,48887D-ND,48887,Desco,DESICCANT MONT CLAY 2X4"" 450PC,0,0,"128.56000","0","1","Box","Desi Pak®","Active","Desiccant","Moisture Absorption","Montmorillonite Clay","450 (2"" L x 4"" W)"
http://documents.desco.com/PDF/13850.pdf,-,13840-ND,13840,Desco,DESICCANT PAK 700 UNIT,0,0,"129.00000","0","1","Box of Individual Packets","Desi Pak®","Active","Desiccant","Moisture Absorption","Montmorillonte Clay, Reusable","1 (700 ea 3"" L x 1.5"" W)"
http://documents.desco.com/PDF/48881.pdf,-,48883-ND,48883,Desco,DESICCANT PAK 1/2 UNIT 700 BOX,0,0,"129.25000","0","1","Box of Individual Packets","Protektive Pak®","Active","Desiccant","Moisture Absorption","Montmorillonte Clay, Sulphur Free","1 (700 ea 3"" L x 1.5"" W)"
https://www.chemtronics.com/content/msds/TDS_C900.pdf,-,C900-ND,C900,Chemtronics,WIPES DRY ELECT EQUIP 6 BAGS,0,0,"130.42000","0","6","Bag","TwillWipes™","Active","Wipes, Dry","Electronic Equipment","Low Linting","6 (150 ea 9"" L x 9"" W)"
http://documents.desco.com/PDF/TB-3057.pdf,-,10445-ND,10445,Desco,FLOOR MAT CLEANER 5G BOX,0,0,"131.27000","0","1","Bag-in-Box","Statguard®","Not For New Designs","Cleaner","Mats, Surfaces","Low VOC, Silicon Free","5 Gallon"
//media.digikey.com/pdf/Data%20Sheets/ACL%20PDFs/Staticide.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_2001-5.jpg,2001-5-ND,2001-5,ACL Staticide Inc,GEN PRPS STATICIDE 5 GAL PAIL,0,0,"133.00000","0","4","Pail","Staticide®","Active","Cleaner, Antistatic","Multiple Surfaces","General Purpose, Plastic Safe","5 Gallon"
http://www.aclstaticide.com/datasheets/4010TDS_1011.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_4010-5.jpg,4010-5-ND,4010-5,ACL Staticide Inc,ACRYLIC STRIPPER 5 GAL PAIL,0,0,"133.00000","0","1","Pail","Staticide®","Active","Solvent","Floors","Biodegradable, Low VOC","5 Gallon"
-,-,6259BESD-ND,6259BESD,Chemtronics,WIPES DRY CRITICAL TASKS 4 BAGS,0,0,"135.20000","0","4","Bag","Coventry™, Poly-Onyx™","Active","Wipes, Dry","Critical Tasks","Dissipative, Lint Free, Low VOC","4 (150 ea 9"" L x 9"" W)"
https://www.aclstaticide.com/datasheets/7001%20TDS_0618.pdf,-,7016ST-ND,7016,ACL Staticide Inc,HAND LOTION ESD DISSIPATE 16OZ,0,0,"147.60000","0","12","-","ACL Staticide®","Active","Lotion, Hand","Moisturizing, Static Dissipation","Non-Acidic, Silicone Free","16 Ounce"
http://documents.desco.com/PDF/TB-7042.pdf,//media.digikey.com/photos/Desco%20Photos/MFG_10511.jpg,10511-ND,10511,Desco,FNSH FLR STTGRD 2.5GAL BOX,0,0,"151.59000","0","1","Bag-in-Box","Statguard®","Active","Cleaner, Antistatic","Floors","Anti-Static, Slip Resistant","2.5 Gallon"
http://documents.desco.com/PDF/TB-7055.pdf,-,46024D-ND,46024,Desco,STTGRD LOW-VOC FLR FNSH 2.5GAL,0,0,"157.07000","0","1","Bag-in-Box","Statguard®","Active","Floor Finish, Antistatic","Floors","Anti-Static, Low VOC, Slip Resistant","2.5 Gallon"
http://documents.desco.com/PDF/TB-7042.pdf,-,46000-ND,46000,Desco,FNSH FLR STTGRD 2.5GAL BOX,0,0,"161.30000","0","1","Bag-in-Box","Statguard®","Active","Floor Finish, Antistatic","Floors","Anti-Static, Slip Resistant","2.5 Gallon"
http://documents.desco.com/PDF/TB-7055.pdf,//media.digikey.com/photos/Desco%20Photos/MFG_10550.jpg,10550-ND,10550,Desco,STATGUARD FL FINISH 2.5 GAL,0,0,"162.60000","0","1","Bag-in-Box","Statguard®","Active","Floor Finish, Antistatic","Floors","Anti-Static, Low VOC, Slip Resistant, Zinc Free","2.5 Gallon"
http://documents.desco.com/PDF/TB-7041.pdf,-,46031D-ND,46031,Desco,CLNR FLR NTRL STTGRD 5GAL BOX,0,0,"190.79000","0","1","Bag-in-Box","Statguard®","Active","Cleaner, Restorer","Floors","Anti-Static","5 Gallon"
http://www.aclstaticide.com/datasheets/4700SSTDS_1211.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_4700-SS-x.jpg,4700-SS1-ND,4700-SS 1,ACL Staticide Inc,FLOOR FINISH DIAMOND ANTISTATIC,0,0,"218.00000","0","4","Pail","Staticide® Diamond Polyurethane","Active","Paint, Conductive","Floors","Anti-Static, Biodegradable, Low VOC","1 Gallon"
http://documents.staticcontrol.com/PDF/Desiccant_Plastic_KraftPaper.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_desiccant%20plastic%20pouch.jpg,16PLDES150-ND,16PLDES150,SCS,16 UNIT PLASTIC DESI 150/DRUM,0,0,"224.85000","0","1","Drum","-","Active","Desiccant","Moisture Absorption","Montmorillonte Clay, Sulphur Free","150 (11"" L x 4.5"" W)"
http://www.aclstaticide.com/datasheets/4100TDS_1012.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_4100-5.jpg,4100-5-ND,4100-5,ACL Staticide Inc,RESTORER/CLEANER 5 GAL PAIL,0,0,"235.00000","0","1","Pail","Staticide®","Active","Cleaner, Restorer","Floors","Biodegradable, Low VOC","5 Gallon"
http://www.aclstaticide.com/datasheets/4020TDS_0412.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_4020-5.jpg,4020-5-ND,4020-5,ACL Staticide Inc,NEUTRAL CLNR CNCNTRT 5 GAL PAIL,0,0,"240.00000","0","1","Pail","Staticide®","Active","Cleaner, Antistatic","Multiple Surfaces","General Purpose, Non-Acidic","5 Gallon"
http://documents.staticcontrol.com/PDF/Desiccant_Plastic_KraftPaper.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_desiccant%20plastic%20pouch.jpg,4PLDES500-ND,4PLDES500,SCS,DESICCANT 4 UNIT 500/DRUM,0,0,"261.74000","0","1","Pail of Individual Packets","-","Active","Desiccant","Moisture Absorption","Montmorillonte Clay, Sulphur Free","1 (500 ea 6.25"" L x 5"" W)"
//media.digikey.com/pdf/Data%20Sheets/ACL%20PDFs/Staticide.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_2002-5.jpg,2002-5-ND,2002-5,ACL Staticide Inc,HEAVY DUTY STATICIDE 5 GAL PAIL,0,0,"275.00000","0","1","Pail","Staticide®","Active","Cleaner, Antistatic","Carpets, Fabrics","General Purpose","5 Gallon"
