Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Tip - Material","Handle - Material","Features","Handle - Length","Quantity"
https://www.chemtronics.com/content/msds/TDS_25123.pdf,//media.digikey.com/Photos/Chemtronics/MFG_25125F.jpg,25125F-ND,25125F,Chemtronics,SWAB SGL HEAD POLYESTER 6"" 135PC,0,0,"38.92000","0","9","Coventry™, FOCCUS™","Active","Swab, Single Head","Polyester","Polypropylene","-","6.00"" (152.4mm)","135"
-,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_SW5PFAS.jpg,EB1160-ND,SW5PFAS-100,MENDA/EasyBraid,SWAB 5"" STAT DIS FT 100/PKG,0,0,"42.09000","0","1","-","Not For New Designs","Swab, Single Head","Foam","-","Antistatic","5.00"" (127.0mm)","100"
https://www.chemtronics.com/content/msds/TDS_Cottontips.pdf,//media.digikey.com/Photos/Chemtronics/MFG_CT5000.jpg,CT5000-ND,CT5000,Chemtronics,SWAB SGL HEAD COTTON 6"" 1000PC,0,0,"50.04000","0","5","Cottontips™ Low Lint","Active","Swab, Single Head","Cotton","Wood","Low Linting, Wrapped Head","6.00"" (152.4mm)","1000"
https://www.chemtronics.com/content/msds/TDS_Flextips.pdf,-,SXM50-ND,SXM50,Chemtronics,SWAB SGL HEAD FOAM 4.13"" 50PC,0,0,"52.02000","0","24","Super Flextips™","Active","Swab, Single Head","Foam","Nylon","-","4.13"" (105.0mm)","50"
https://www.chemtronics.com/content/msds/TDS_Flextips.pdf,-,SX50-ND,SX50,Chemtronics,SWAB SGL HEAD FOAM 4.45"" 50PC,0,0,"54.62000","0","24","Super Flextips™","Active","Swab, Single Head","Foam","Nylon","-","4.45"" (113.0mm)","50"
https://www.chemtronics.com/content/msds/TDS_Microtip.pdf,//media.digikey.com/Photos/Chemtronics/MFG_CM502.jpg,CM502-ND,CM502,Chemtronics,APPLICATOR CLEANRM 6.7""POLY 50PC,0,0,"57.12000","0","24","Microtip™","Active","Swab, Single Head","Polyvinylidene Fluoride (PVDF)","Polypropylene","-","6.70"" (170.2mm)","50"
https://www.chemtronics.com/content/msds/TDS_COV5000.pdf,//media.digikey.com/Photos/Chemtronics/MFG_51353.jpg,51353-ND,51353,Chemtronics,SWAB SGL HEAD POLY KNIT 1000PC,0,0,"78.16000","0","10","Coventry™, Diamond™","Active","Swab, Single Head","Polyester, Knit","Nylon, Glass Filled","Abrasion Resistant, Low Linting, Wrapped Head","2.80"" (71.1mm)","1000"
https://www.mgchemicals.com/downloads/catalogs/Elec%20Maint%20catalog%20Web.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_813.jpg,813-250-ND,813-250,MG Chemicals,SWAB FOAM SINGLE ENDED 250PCS,0,0,"87.90000","0","1","-","Active","Swab, Single Head","Foam","Birch","Shred Resistant","6.00"" (152.4mm)","250"
https://www.chemtronics.com/content/msds/TDS_25123.pdf,-,26122F-ND,26122F,Chemtronics,SWAB SGL HEAD FOAM 6"" 450PC,0,0,"88.18000","0","9","FOCCUS™","Active","Swab, Single Head","Foam","Polypropylene","Lint Free","6.00"" (152.4mm)","450"
https://www.chemtronics.com/content/msds/TDS_COV4000.pdf,//media.digikey.com/Photos/Chemtronics/MFG_48040.jpg,48040ITW-ND,48040,Chemtronics,SWAB SGL HEAD FOAM 2.75"" 2500PC,0,0,"97.22000","0","5","Coventry™","Active","Swab, Single Head","Foam","Polypropylene","Lint Free","2.75"" (69.9mm)","2500"
https://www.chemtronics.com/content/msds/TDS_COV3000.pdf,//media.digikey.com/Photos/Chemtronics/MFG_38040.jpg,38040ITW-ND,38040,Chemtronics,SWAB SGL HEAD POLY KNIT 2500PC,0,0,"114.62000","0","5","Coventry™","Active","Swab, Single Head","Polyester, Knit","Polypropylene","Abrasion Resistant, Low Linting, Sealed Head","2.70"" (68.6mm)","2500"
https://www.chemtronics.com/content/msds/TDS_25123.pdf,-,25123X-ND,25123X,Chemtronics,SWAB SGL HEAD 6"" 5-100PC BAGS,0,0,"115.78000","0","5","Coventry™, FOCCUS™","Active","Swab, Single Head","Polyester","Polypropylene","-","6.00"" (152.4mm)","500"
https://www.mgchemicals.com/downloads/catalogs/Elec%20Maint%20catalog%20Web.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_814.jpg,814-250-ND,814-250,MG Chemicals,SWAB FOAM RECTANGULR HEAD 250PCS,0,0,"123.28000","0","1","-","Active","Swab, Single Head","Foam","Polypropylene","Shred Resistant","5.00"" (127.0mm)","250"
https://www.chemtronics.com/content/msds/TDS_COV3000.pdf,//media.digikey.com/Photos/Chemtronics/MFG_38540.jpg,38540-ND,38540,Chemtronics,SWAB SGL HEAD POLY NONWVN 2500PC,0,0,"124.52000","0","5","Coventry™","Active","Swab, Single Head","Polyester, Non-Woven","Polypropylene","Abrasion Resistant, Low Linting, Sealed Head","2.70"" (68.6mm)","2500"
//media.digikey.com/pdf/Data%20Sheets/MG%20Chemicals%20PDFs/811-100.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_812AS.jpg,812AS-250-ND,812AS-250,MG Chemicals,SWAB ANTISTATIC FOAM OVER COTTON,0,0,"128.80000","0","1","-","Active","Swab, Single Head","Foam, Cotton","Birch","Antistatic, Shred Resistant","6.00"" (152.4mm)","250"
https://www.chemtronics.com/content/msds/TDS_COV4000.pdf,//media.digikey.com/Photos/Chemtronics/MFG_43170.jpg,43170ITW-ND,43170,Chemtronics,SWAB SGL HEAD FOAM COTTON 2500PC,0,0,"143.14000","0","5","Coventry™","Active","Swab, Single Head","Foam, Cotton","Wood","Lint Free","6.00"" (152.4mm)","2500"
https://www.chemtronics.com/content/msds/TDS_25183.pdf,-,25183-ND,25183,Chemtronics,SWAB SGL HEAD FOAM 6"" 500PC,0,0,"145.92000","0","5","FOCCUS™","Active","Swab, Single Head","Foam","Polypropylene","Lint Free, Wrapped Head","6.00"" (152.4mm)","500"
https://www.chemtronics.com/content/msds/TDS_COV4000.pdf,//media.digikey.com/Photos/Chemtronics/MFG_49280.jpg,49280-ND,49280,Chemtronics,SWAB SGL HEAD FOAM 6.5"" 2500PC,0,0,"153.74000","0","5","Coventry™","Active","Swab, Single Head","Foam","Polypropylene","Lint Free","6.50"" (165.1mm)","2500"
https://www.chemtronics.com/content/msds/TDS_COV3000.pdf,-,38140-ND,38140,Chemtronics,SWAB SGL HEAD POLY KNIT 2500PC,0,0,"160.86000","0","5","Coventry™","Active","Swab, Single Head","Polyester, Knit","Polypropylene","Abrasion Resistant, Lint Free, Sealed Head","2.70"" (68.6mm)","2500"
//media.digikey.com/pdf/Data%20Sheets/C-Ton%20Industries%20PDFs/2000%20Series.pdf,//media.digikey.com/Photos/Chemtronics/MFG_20050.jpg,20050ITW-ND,20050,Chemtronics,SWAB SGL HEAD FOAM 2.6"" 500PC,0,0,"165.04000","0","5","Coventry™","Active","Swab, Single Head","Foam","Wood","Abrasion Resistant, Wrapped Head","2.60"" (66.0mm)","500"
https://www.chemtronics.com/content/msds/TDS_COV3000.pdf,-,34860ITW-ND,34860,Chemtronics,SWAB SGL HEAD POLY KNIT 2500PC,0,0,"166.50000","0","5","Coventry™","Active","Swab, Single Head","Polyester, Knit","Polypropylene","Abrasion Resistant, Lint Free, Sealed Head","2.80"" (71.1mm)","2500"
//media.digikey.com/pdf/Data%20Sheets/C-Ton%20Industries%20PDFs/2000%20Series.pdf,//media.digikey.com/Photos/Chemtronics/MFG_20080.jpg,20080-ND,20080,Chemtronics,SWAB SGL HEAD FOAM 2.6"" 500PC,0,0,"173.74000","0","5","Coventry™","Active","Swab, Single Head","Foam","Wood","Abrasion Resistant, Lint Free, Wrapped Head","2.60"" (66.0mm)","500"
//media.digikey.com/pdf/Data%20Sheets/C-Ton%20Industries%20PDFs/2000%20Series.pdf,//media.digikey.com/Photos/Chemtronics/MFG_21050.jpg,21050ITW-ND,21050,Chemtronics,SWAB SGL HEAD FOAM 2.8"" 500PC,0,0,"188.72000","0","5","Coventry™","Active","Swab, Single Head","Foam","Nylon","Abrasion Resistant, Lint Free, Wrapped Head","2.80"" (71.1mm)","500"
https://www.chemtronics.com/content/msds/TDS_COV3000.pdf,//media.digikey.com/Photos/Chemtronics/MFG_36060.jpg,36060-ND,36060,Chemtronics,SWAB SGL HEAD POLY KNIT 2500PC,0,0,"214.18000","0","5","Coventry™","Active","Swab, Single Head","Polyester, Knit","Polypropylene","Abrasion Resistant, Lint Free, Sealed Head","5.80"" (147.3mm)","2500"
