Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Mat Type","Shape","Length","Width","Thickness","Color","Material","Number of Layers","Features"
http://documents.desco.com/PDF/pm-104.pdf,//media.digikey.com/photos/Desco%20Photos/MFG_66081.jpg,66106-ND,66106,Desco,MAT RUBBER DRK BLUE 30""X40',0,0,"937.68000","0","1","Statfree T2™","Active","Table, Workbench Runner","Rectangle","40' (12.19m)","2.5' (0.76m)","0.06"" (1.52mm)","Blue, Dark","Rubber","2","Conductive, Dissipative"
-,-,40957-ND,40957,Desco,"RUBBER, STATFREE I, CONDUCTIVE F",0,0,"969.63667","0","3","Statfree®","Active","-","-","-","-","-","-","Rubber","-","Conductive"
http://www.aclstaticide.com/datasheets/Dualmat%20TDS_0815.pdf,//media.digikey.com/renders/ACL%20Staticide%20Renders/8085BR3040.jpg,8085BR3040-ND,8085BR3040,ACL Staticide Inc,MAT TABLE ESD 30""X40' LT BLUE,0,0,"1009.00000","0","1","Dualmat™","Active","Table, Workbench Runner","Rectangle","40' (12.19m)","2.5' (0.76m)","0.08"" (2.03mm)","Blue, Light","Elastomer","2","Dissipative"
http://www.aclstaticide.com/datasheets/Dualmat%20TDS_0815.pdf,//media.digikey.com/renders/ACL%20Staticide%20Renders/8285RBR3040.jpg,8285RBR3040-ND,8285RBR3040,ACL Staticide Inc,MAT TABLE ESD 30""X40' ROYAL BLUE,0,0,"1009.00000","0","1","Dualmat™","Active","Table, Workbench Runner","Rectangle","40' (12.19m)","2.5' (0.76m)","0.08"" (2.03mm)","Blue, Royal","Elastomer","2","Dissipative"
http://www.aclstaticide.com/datasheets/Dualmat%20TDS_0815.pdf,//media.digikey.com/renders/ACL%20Staticide%20Renders/8185GR3040.jpg,8185GR3040-ND,8185GR3040,ACL Staticide Inc,MAT TABLE ESD 30""X40' GREEN,0,0,"1009.00000","0","1","Dualmat™","Active","Table, Workbench Runner","Rectangle","40' (12.19m)","2.5' (0.76m)","0.08"" (2.03mm)","Green","Elastomer","2","Dissipative"
http://documents.staticcontrol.com/pdf/8200-Series_Dissipative-Three-Layer-Vinyl-Mat.pdf,//media.digikey.com/renders/3M%20Renders/Brown%20Mats.jpg,SCP678-ND,8241,SCS,TBL WRKBNCH RUN RUB VINYL 50'X2',0,0,"1017.73000","0","1","8200","Active","Table, Workbench Runner","Rectangle","50' (15.24m)","2' (0.61m)","0.14"" (3.56mm)","Brown","Foam Rubber, Vinyl","3","Conductive, Dissipative"
http://documents.staticcontrol.com/pdf/8200-Series_Dissipative-Three-Layer-Vinyl-Mat.pdf,-,SCP679-ND,8243,SCS,TBL WKBCH RUN RUB VINYL 50'X2.5',0,0,"1017.73000","0","1","8200","Active","Table, Workbench Runner","Rectangle","50' (15.24m)","2.5' (0.76m)","0.14"" (3.56mm)","Gray","Foam Rubber, Vinyl","3","Conductive, Dissipative"
http://documents.staticcontrol.com/pdf/8200-Series_Dissipative-Three-Layer-Vinyl-Mat.pdf,-,SCP680-ND,8244,SCS,TBL WKBCH RUN RUB VINYL 50'X2.5',0,0,"1017.73000","0","1","8200","Active","Table, Workbench Runner","Rectangle","50' (15.24m)","2.5' (0.76m)","0.14"" (3.56mm)","Blue","Foam Rubber, Vinyl","3","Conductive, Dissipative"
http://www.aclstaticide.com/datasheets/Gemini%20TDS%201215.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_58x00.jpg,58600-ND,58600,ACL Staticide Inc,TABLE RUN POLY LT GRAY 50'X 3',0,0,"1045.00000","0","1","Gemini-ESD","Active","Table, Workbench Runner","Rectangle","50' (15.24m)","3' (0.91m)","0.06"" (1.52mm)","Gray, Light","Polymer","2","Conductive, Dissipative"
http://www.aclstaticide.com/datasheets/Gemini%20TDS%201215.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_ESD%20Grounding%20Mat%20Blue%20Roll.jpg,59500ACL-ND,59500,ACL Staticide Inc,TABLE RUN POLY ROYAL BLUE 50'X3',0,0,"1045.00000","0","1","Gemini-ESD","Active","Table, Workbench Runner","Rectangle","50' (15.24m)","3' (0.91m)","0.06"" (1.52mm)","Blue, Royal","Polymer","2","Conductive, Dissipative"
