Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Metal Layer","Static Discharge Shielding","Closure System","Thickness","Length - Inside","Width - Inside","Tensile Strength","Color"
http://documents.staticcontrol.com/PDF/Static_Shielding_Bag_1000_Series.pdf,//media.digikey.com/Photos/3M%20Photos/1001014.JPG,SCP365-ND,1001014,SCS,BAG 10X14"" STATIC SHIELD 1=1EA,30111,0,"0.28000","0","1","1000","Active","Static Shielding Bag","In","<10nJ","User Defined - Clips, Heat Seal, Tape","2.8 mil (71.12 microns)","14"" (355.6mm)","10"" (254mm)","4600 psi","Silver"
http://documents.staticcontrol.com/PDF/Static_Shielding_Bag_1000_Series.pdf,//media.digikey.com/Photos/3M%20Photos/300810.jpg,SCP315-ND,300810,SCS,BAG STATIC ZIP-TOP 8X10"" 1=1EA,14376,0,"0.28000","0","1","1000 ZipTop™","Active","Static Shielding Bag","In","<10nJ","Zip Lock","2.8 mil (71.12 microns)","10"" (254mm)","8"" (203.2mm)","4600 psi","Silver"
http://documents.staticcontrol.com/PDF/Static_Shielding_Bag_1000_Series.pdf,//media.digikey.com/Photos/3M%20Photos/1001216.JPG,SCP396-ND,1001216,SCS,BAG 12X16"" STATIC SHIELD 1=1EA,4189,0,"0.35000","0","1","1000","Active","Static Shielding Bag","In","<10nJ","User Defined - Clips, Heat Seal, Tape","2.8 mil (71.12 microns)","16"" (406.4mm)","12"" (304.8mm)","4600 psi","Silver"
http://documents.staticcontrol.com/PDF/Static_Shielding_Bag_1000_Series.pdf,//media.digikey.com/Photos/3M%20Photos/3001012.jpg,SCP308-ND,3001012,SCS,BAG STATIC ZIP-TOP 10X12"" 1=1EA,2849,0,"0.40000","0","1","1000 ZipTop™","Active","Static Shielding Bag","In","<10nJ","Zip Lock","2.8 mil (71.12 microns)","12"" (304.8mm)","10"" (254mm)","4600 psi","Silver"
http://documents.staticcontrol.com/PDF/Static_Shielding_Bag_1000_Series.pdf,//media.digikey.com/Photos/3M%20Photos/1001218.jpg,SCP317-ND,1001218,SCS,BAG STATIC METAL-IN 12X18"" 1=1EA,7769,0,"0.41000","0","1","1000","Active","Static Shielding Bag","In","<10nJ","User Defined - Clips, Heat Seal, Tape","2.8 mil (71.12 microns)","18"" (457.2mm)","12"" (304.8mm)","4600 psi","Silver"
http://documents.staticcontrol.com/PDF/Static_Shielding_Bag_1000_Series.pdf,//media.digikey.com/Photos/3M%20Photos/1001418.JPG,SCP472-ND,1001418,SCS,BAG STATIC METAL-IN 14X18"" 1=1EA,9675,0,"0.48000","0","1","1000","Active","Static Shielding Bag","In","<10nJ","User Defined - Clips, Heat Seal, Tape","2.8 mil (71.12 microns)","18"" (457.2mm)","14"" (355.6mm)","4600 psi","Silver"
http://documents.staticcontrol.com/PDF/Static_Shielding_Bag_1000_Series.pdf,//media.digikey.com/Photos/3M%20Photos/3001216.JPG,SCP388-ND,3001216,SCS,BAG 12X16"" ZIP STATIC SHLD 1=1EA,2499,0,"0.59000","0","1","1000 ZipTop™","Active","Static Shielding Bag","In","<10nJ","Zip Lock","2.8 mil (71.12 microns)","16"" (406.4mm)","12"" (304.8mm)","4600 psi","Silver"
http://documents.staticcontrol.com/PDF/Static_Shielding_Bag_1000_Series.pdf,//media.digikey.com/Photos/3M%20Photos/3001218.JPG,SCP468-ND,3001218,SCS,BAG STATIC ZIP-TOP 12X18"" 1=1EA,2420,0,"0.65000","0","1","1000 ZipTop™","Active","Static Shielding Bag","In","<10nJ","Zip Lock","2.8 mil (71.12 microns)","18"" (457.2mm)","12"" (304.8mm)","4600 psi","Silver"
http://documents.staticcontrol.com/PDF/Static_Shielding_Bag_1000_Series.pdf,//media.digikey.com/Photos/3M%20Photos/1001624.JPG,SCP354-ND,1001624,SCS,BAG 16X24"" STATIC SHIELD 1=1EA,15789,0,"0.70000","0","1","1000","Active","Static Shielding Bag","In","<10nJ","User Defined - Clips, Heat Seal, Tape","2.8 mil (71.12 microns)","24"" (609.6mm)","16"" (406.4mm)","4600 psi","Silver"
http://documents.staticcontrol.com/pdf/Dri-Shield-3400-Moisture-Barrier-Bag.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_D341030.jpg,SCP501-ND,D341020,SCS,BAG MOISTURE BARR 10""X20"" 1=1EA,3275,0,"0.92000","0","1","Dri-Shield 3400","Active","Moisture Barrier Bag","In","<10nJ","User Defined - Clips, Heat Seal, Tape","4.0 mil (101.6 microns)","20"" (508mm)","10"" (254mm)","6000 psi","Silver"
