Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products","Specifications"
http://documents.staticcontrol.com/PDF/6HIC200.pdf,//media.digikey.com/Photos/SCS/MFG_6HIC200.jpg,SCP643-ND,6HIC200,SCS,HUMIDITY INDICATOR 6 SPOT 200PCS,44,0,"34.56000","0","1","-","Active","Humidity Card","Moisture","Meets EIA 581, MIL-I-8835 and MIL-P-116"
https://www3.panasonic.biz/ac/e_download/fasys/staticsys/staticsys/catalog/er-x_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/ER-XC02.jpg,1110-1505-ND,ER-XC02,Panasonic Industrial Automation Sales,CONTROLLER AREA IONIZER ER-X,3,0,"450.00000","0","1","ER-X","Active","Controller","ER-X Ionizers","-"
http://documents.staticcontrol.com/PDF/718_Static_Sensor_User_Guide.pdf,//media.digikey.com/Photos/3M%20Photos/718A.JPG,SCP276-ND,718A,SCS,AIR IONIZER TEST KIT,5,0,"462.75000","0","1","718A","Active","Test Kit","Ionizer","-"
-,//media.digikey.com/Photos/SCS/MFG_724P.jpg,SCP662-ND,724P,SCS,POWER SUPPLY FOR 724 MONITOR,27,0,"8.74000","0","1","-","Active","AC Adapter","724, 790 Monitors","25V"
http://www.aclstaticide.com/pdf/ACL-Staticide-Static-Control-Brochure-2014.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_8092.jpg,ST1092-ND,8092,ACL Staticide Inc,BENCH MOUNT FOR TWO WRIST STRAPS,58,0,"14.25000","0","1","-","Active","Grounding Hardware","Wrist Straps","10' Cord"
http://documents.staticcontrol.com/PDF/3000_Series_Grounding_Accessories_Instructions.pdf,//media.digikey.com/photos/SCS/3044.jpg,SCP684-ND,3044,SCS,LAMINATE GROUNDING SYSTEM,9,0,"17.70000","0","1","-","Active","Ground Point","Wrist Straps","10' Cable"
http://documents.desco.com/PDF/TB-3073.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_19260.jpg,16-1437-ND,19260,Desco,ADAPTER 120V IN 24V OUT NA PLUG,34,0,"17.82000","0","1","-","Active","Adapter","Monitors","24V, 120VAC"
http://documents.staticcontrol.com/PDF/51015HIC125.pdf,//media.digikey.com/Photos/SCS/MFG_51015HIC125.jpg,SCP444-ND,51015HIC125,SCS,HUMIDITY INDICATOR 3 SPOT 125PCS,75,0,"18.21000","0","1","-","Active","Humidity Card","Moisture","Meets IPC/JEDEC J-STD-033A"
http://documents.desco.com/PDF/07450.pdf,//media.digikey.com/photos/Desco%20Photos/07450.JPG,16-1310-ND,07450,Desco,SHEET PROT'R CLR 8.75X11.25 25PK,16,0,"21.80000","0","1","Statfree®","Active","Protective Sleeve","Storing Required Documents in ESD Area","8.5"" x 11"", Clear Sheets, Dissipative"
http://documents.staticcontrol.com/PDF/Snaps_Pres-N-Snap_Tool.pdf,//media.digikey.com/photos/3M%20Photos/3050.JPG,SCP275-ND,3050,SCS,SNAP FASTENER FEMALE 10MM 1=10PC,48,0,"24.34000","0","1","-","Active","Snap Fastener, Female","8200 Series Mats and Runners","10mm Diameter"
http://documents.staticcontrol.com/PDF/724_Workstation_Monitor_User_Guide.pdf,//media.digikey.com/Photos/SCS/MFG_724-PSEU.jpg,SCP741-ND,724-PSEU,SCS,ADAPTER 100-240VAC 24VDC .25A,8,0,"26.93000","0","1","-","Active","Adapter","724 Workstation Monitor, 790 Static Monitor","-"
http://documents.desco.com/PDF/16100.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_16100.jpg,16-1433-ND,16100,Desco,STATIC DISSIPATIVE PAPER,36,0,"37.74000","0","1","-","Active","Paper","Paperwork","8.5"" x 11"", 500 Sheets, White with Pink Stripe, Clean Room 10000, Dissipative"
