Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Mounting Type","Voltage - Input"
https://industrial.panasonic.com/ac/cdn/e/fasys/staticsys/staticsys/catalog/er-f12a_e_cata.pdf,-,1110-4342-ND,ER-F12A,Panasonic Industrial Automation Sales,COMPACT FAN TYPE IONIZER,10,0,"500.00000","0","1","ER-F","Active","Ionizer","Benchtop","24VDC"
https://www3.panasonic.biz/ac/e_download/fasys/staticsys/staticsys/catalog/er-x_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/ER-X032.jpg,1110-1499-ND,ER-X032,Panasonic Industrial Automation Sales,IONIZER CHASSIS MOUNT 24V,6,0,"1050.00000","0","1","ER-X","Active","Ionizer","Chassis Mount","24VDC"
http://documents.staticcontrol.com/pdf/Overhead_Air_Ionizer_991A_User_Guide.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_991A.jpg,SCP755-ND,991A,SCS,IONIZER W/N AMERICA POWER CORD,4,0,"1068.47000","0","1","991A","Active","Ionizer","Overhead","120 ~ 240 VAC"
http://documents.desco.com/PDF/TB-3031.pdf,//media.digikey.com/photos/Desco%20Photos/MFG_60473.jpg,16-1493-ND,60473,Desco,IONIZER O'HEAD 3FAN 120V US PLUG,3,0,"1136.32000","0","1","Chargebuster®","Active","Ionizer","Overhead","120VAC, 220VAC"
https://www.murata.com/en-global/products/productdata/8798894915614/MHM500-DS.pdf,//media.digikey.com/Photos/Murata%20Photos/MFG_MHM500.jpg,490-14866-ND,MHM500-00A,Murata Power Solutions Inc.,OZONIZER CHASSIS MOUNT 12V,80,0,"36.75000","0","1","MHM500","Active","Ozonizer","Chassis Mount","10.8 ~ 13.2VDC"
http://documents.desco.com/PDF/TB-3031.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_60467.jpg,16-1323-ND,60467,Desco,IONIZER OVRHD 120VAC 2 FAN W/LT,2,0,"1020.41000","0","1","Chargebuster®","Active","Ionizer","Overhead","120VAC"
https://www3.panasonic.biz/ac/e_download/fasys/staticsys/staticsys/catalog/er-x_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/ER-X048.jpg,1110-1500-ND,ER-X048,Panasonic Industrial Automation Sales,IONIZER CHASSIS MOUNT 24V,3,0,"1125.00000","0","1","ER-X","Active","Ionizer","Chassis Mount","24VDC"
https://www.murata.com/en-global/products/productdata/8798894981150/MHM501-DS.pdf,//media.digikey.com/Photos/Murata%20Photos/MFG_MHM501.jpg,490-14867-ND,MHM501-00,Murata Power Solutions Inc.,OZONIZER CHASSIS MOUNT 12V,95,0,"36.75000","0","1","MHM500","Active","Ozonizer","Chassis Mount","10.8 ~ 13.2VDC"
http://documents.staticcontrol.com/PDF/Ion-Pro-Overhead-Ionizer-User-Guide.pdf,//media.digikey.com/Photos/SCS/MFG_770112.jpg,SCP769-ND,770112,SCS,IONIZER OVRHD LED 2-FAN 120/240V,2,0,"1020.41000","0","1","Ion Pro™","Active","Ionizer","Overhead","110VAC, 220VAC"
http://documents.staticcontrol.com/PDF/Ion-Pro-Overhead-Ionizer-User-Guide.pdf,//media.digikey.com/Photos/SCS/MFG_770113.jpg,SCP770-ND,770113,SCS,IONIZER OVRHD LED 3-FAN 120/240V,3,0,"1197.53000","0","1","Ion Pro™","Active","Ionizer","Overhead","110VAC, 220VAC"
